time,open,high,low,close
1731938400.001,90450,90600,90450,90600
1731938400.002,90600,90750,90600,90750
1731938400.003,90750,90900,90750,90900
1731938400.004,90900,91050,90900,91050
1731938400.005,91050,91200,91050,91200
1731938400.006,91200,91350,91200,91350
1731938400.007,91350,91500,91350,91500
1731938400.008,91500,91650,91500,91650
1731938400.009,91650,91800,91650,91800
1731938400.01,91800,91950,91800,91950
1731938400.011,91950,92100,91950,92100
1731938400.012,92100,92250,92100,92250
1731942000,92100,92100,91950,91950
1731942000.001,91950,91950,91800,91800
1731942000.002,91800,91800,91650,91650
1731942000.003,91650,91650,91500,91500
1731949200,91500,91500,91350,91350
1731949200.001,91350,91350,91200,91200
1731949200.002,91200,91200,91050,91050
1731949200.003,91050,91050,90900,90900
1731949200.004,90900,90900,90750,90750
1731949200.005,90750,90750,90600,90600
1731949200.006,90600,90600,90450,90450
1731956400,90600,90750,90600,90750
1731956400.001,90750,90900,90750,90900
1731956400.002,90900,91050,90900,91050
1731956400.003,91050,91200,91050,91200
1731956400.004,91200,91350,91200,91350
1731956400.005,91350,91500,91350,91500
1731967200,91350,91350,91200,91200
1731967200.001,91200,91200,91050,91050
1731967200.002,91050,91050,90900,90900
1731967200.003,90900,90900,90750,90750
1731967200.004,90750,90750,90600,90600
1731970800,90750,90900,90750,90900
1731970800.001,90900,91050,90900,91050
1731978000,91050,91200,90767,91200
1731981600,91200,91350,91200,91350
1731985200,91350,91500,91350,91500
1731988800,91500,91650,91500,91650
1731988800.001,91650,91800,91650,91800
1731992400,91800,91950,91800,91950
1732014000,91950,92100,91673.25,92100
1732014000.001,92100,92250,92100,92250
1732014000.002,92250,92400,92250,92400
1732017600,92250,92250,92100,92100
1732017600.001,92100,92100,91950,91950
1732017600.002,91950,91950,91800,91800
1732017600.003,91800,91800,91650,91650
1732017600.004,91650,91650,91500,91500
1732017600.005,91500,91500,91350,91350
1732021200,91500,91650,91500,91650
1732021200.001,91650,91800,91650,91800
1732024800,91800,91950,91800,91950
1732024800.001,91950,92100,91950,92100
1732024800.002,92100,92250,92100,92250
1732024800.003,92250,92400,92250,92400
1732028400,92400,92550,92400,92550
1732032000,92550,92700,92550,92700
1732032000.001,92700,92850,92700,92850
1732035600,92850,93000,92850,93000
1732035600.001,93000,93150,93000,93150
1732035600.002,93150,93300,93150,93300
1732035600.003,93300,93450,93300,93450
1732035600.004,93450,93600,93450,93600
1732035600.005,93600,93750,93600,93750
1732039200,93600,93600,93450,93450
1732042800,93450,93450,93300,93300
1732042800.001,93300,93300,93150,93150
1732042800.002,93150,93150,93000,93000
1732042800.003,93000,93000,92850,92850
1732042800.004,92850,92850,92700,92700
1732046400,92700,92700,92550,92550
1732046400.001,92550,92550,92400,92400
1732050000,92400,92400,92250,92250
1732050000.001,92250,92250,92100,92100
1732050000.002,92100,92100,91950,91950
1732053600,92100,92250,92100,92250
