time,open,high,low,close,Long Entry,Short Entry,Renko ADX(14) [1],Vol Ratio,PSAR dir [1],Vel Ratio [1],Vel SMA,Brick TD (s),ET Time,Force Close,Entry Cutoff,Long Entry,Short Entry,Renko ADX(14) [1],Vol Ratio,PSAR dir [1],ET Time,Force Close,Entry Cutoff
1673541000.001,34272,34314,34272,34314,0,0,42.58417097405163,0.3422320351281051,1,0.34782608678848986,9990.000154999998,0.001,11.5,0,0,0,0,42.58417097405163,0.3422320351281051,1,11.5,0,0
1673541000.002,34314,34356,34314,34356,0,0,44.256423129395436,0.36510380531770625,1,1.001000985469955e-7,9810.000204999997,0.001,11.5,0,0,0,0,44.256423129395436,0.36510380531770625,1,11.5,0,0
1673544600,34314,34314,34272,34272,0,0,45.982761235696124,0.9931181537951094,1,1.0193679705432793e-7,9990.000054999997,3599.998,12.5,0,0,0,0,45.982761235696124,0.9931181537951094,1,12.5,0,0
1673638200,34314,34356,34314,34356,0,0,46.726287908264304,5.112388610248152,1,0.36036015817619543,12608.999989999997,52379.99970000001,14.5,0,0,0,0,46.726287908264304,5.112388610248152,1,14.5,0,0
1673641800,34356,34398,34356,34398,0,0,47.639240211780134,0.4881338851786101,1,4.15417556836718,12609.000089999998,3600,15.5,0,1,0,0,47.639240211780134,0.4881338851786101,1,15.5,0,1
1673965800,34356,34356,34314,34314,0,0,48.69361470254492,0.8665840768504831,1,0.2855103477122745,17658.000032499996,100979.99985000002,9.5,0,0,0,0,48.69361470254492,0.8665840768504831,1,9.5,0,0
1673965800.001,34314,34314,34272,34272,0,0,48.84395651072733,0.8777368455679878,1,5.718654415230704,17658.000032499996,0.001,9.5,0,0,0,0,48.84395651072733,0.8777368455679878,1,9.5,0,0
1673969400,34272,34272,34230,34230,0,0,48.21405386113717,0.24481740118578013,-1,5.6631554998271306e-8,15164.99999,3599.999,10.5,0,0,0,0,48.21405386113717,0.24481740118578013,-1,10.5,0,0
1673969400.001,34230,34230,34188,34188,0,0,46.91462058025543,0.26378972602789813,-1,0.23738865825083325,14805.000039999999,0.001,10.5,0,0,0,0,46.91462058025543,0.26378972602789813,-1,10.5,0,0
1673969400.002,34188,34188,34146,34146,0,0,45.04453267764426,0.283680025995371,-1,6.754474821332051e-8,11592.0001125,0.001,10.5,0,0,0,0,45.04453267764426,0.283680025995371,-1,10.5,0,0
1673969400.003,34146,34146,34104,34104,0,0,42.691954926225335,0.3044498864473396,-1,8.626638977700407e-8,11592.0001125,0.001,10.5,0,0,0,0,42.691954926225335,0.3044498864473396,-1,10.5,0,0
1673969400.004,34104,34104,34062,34062,0,0,39.935366854058366,0.3260482581603979,-1,8.626638977700407e-8,11232.0002125,0.001,10.5,0,0,0,0,39.935366854058366,0.3260482581603979,-1,10.5,0,0
1673973000,34062,34062,34020,34020,0,0,37.32118452457741,0.6233746668360939,-1,8.903133734694097e-8,11232.000012499999,3599.996,11.5,0,0,0,0,37.32118452457741,0.6233746668360939,-1,11.5,0,0
