time,open,high,low,close,Long Entry,Short Entry,5m ADX(14),Volume
1722841200.005,1.094,1.0945,1.094,1.0945,0,0,55.0380840514641,2737.6666666666665
1722844800,1.0945,1.095,1.0945,1.095,0,0,55.60965812256142,11358
1722855600,1.095,1.0955,1.095,1.0955,0,0,56.334346313773466,13510
1722855600.001,1.0955,1.0959999999999999,1.0955,1.0959999999999999,0,0,57.18659971453511,13510
1722859200,1.096,1.0965,1.096,1.0965,0,0,58.14384664428598,2424.5
1722859200.001,1.0965,1.097,1.0965,1.097,0,0,59.18618190831398,2424.5
1722859200.002,1.097,1.0975,1.097,1.0975,0,0,60.29608759904189,2424.5
1722859200.003,1.0975,1.0979999999999999,1.0975,1.0979999999999999,0,0,61.458182163253326,2424.5
1722859200.004,1.098,1.0985,1.098,1.0985,0,0,62.65899482025523,2424.5
1722859200.005,1.0985,1.099,1.0985,1.099,0,0,63.886762735653946,2424.5
1722862800,1.0985,1.0985,1.098,1.098,0,0,64.09498051681766,18847
1722870000,1.098,1.098,1.0975000000000001,1.0975000000000001,0,1,63.42502703206101,7808
1722870000.001,1.0975,1.0975,1.097,1.097,0,0,62.0030056913483,7808
1722870000.002,1.097,1.097,1.0965,1.0965,0,0,59.94124510178914,7808
1722870000.003,1.0965,1.0965,1.096,1.096,0,0,57.339657565173376,7808
1722877200,1.096,1.096,1.0955000000000001,1.0955000000000001,0,0,54.286968905095044,23962
1722920400,1.0955,1.09628,1.095,1.095,0,0,50.861831784586066,62333
1722924000,1.095,1.095,1.0945,1.0945,0,0,47.323854111357456,4938
1722924000.001,1.0945,1.0945,1.094,1.094,0,0,44.54630183155367,4938
1722927600,1.094,1.094,1.0935000000000001,1.0935000000000001,0,0,42.437997299993384,5827
1722927600.001,1.0935,1.0935,1.093,1.093,0,0,40.91699161930421,5827
1722934800,1.093,1.093,1.0925,1.0925,0,0,39.90969980389565,5898.333333333333
1722934800.001,1.0925,1.0925,1.092,1.092,0,0,39.350114047538845,5898.333333333333
1722934800.002,1.092,1.092,1.0915000000000001,1.0915000000000001,0,0,39.17908811552639,5898.333333333333
1722938400,1.0915,1.0915,1.091,1.091,0,0,39.343686514683355,7095
1722952800,1.0915,1.0919999999999999,1.09053,1.0919999999999999,0,0,38.771020030654974,12214.666666666666
1722952800.001,1.092,1.0925,1.092,1.0925,0,0,37.56607807452445,12214.666666666666
1722952800.002,1.0925,1.093,1.0925,1.093,0,0,35.82254299716745,12214.666666666666
1722992400,1.0925,1.09314,1.092,1.092,0,0,34.648418440700866,53960
1723003200,1.092,1.092,1.0915000000000001,1.0915000000000001,0,0,33.971007617323146,12344
1723039200,1.092,1.0925,1.09104,1.0925,0,0,32.70116025174374,30502
1723039200.001,1.0925,1.093,1.0925,1.093,0,0,30.92727419673534,30502
1723086000,1.093,1.0935,1.09222,1.0935,0,0,28.72809906458322,52716
1723096800,1.0935,1.0939999999999999,1.0935,1.0939999999999999,0,0,27.178514529700372,15510
1723107600,1.0935,1.0935,1.093,1.093,0,0,25.282276026842887,18473
1723118400,1.093,1.093,1.0925,1.0925,0,0,24.02968662251871,3293.3333333333335
1723118400.001,1.0925,1.0925,1.092,1.092,0,0,23.338302737580673,3293.3333333333335
1723118400.002,1.092,1.092,1.0915000000000001,1.0915000000000001,0,0,23.134197795193973,3293.3333333333335
1723118400.003,1.0915,1.0915,1.091,1.091,0,0,23.35116291588912,3293.3333333333335
1723118400.004,1.091,1.091,1.0905,1.0905,0,0,23.929978791625654,3293.3333333333335
1723118400.005,1.0905,1.0905,1.09,1.09,0,0,24.817752586391663,3293.3333333333335
1723122000,1.09,1.09,1.0895000000000001,1.0895000000000001,0,0,25.96731423530681,9719
1723125600,1.09,1.0905,1.09,1.0905,0,1,26.31479895856489,8958
1723129200,1.0905,1.091,1.0905,1.091,0,0,25.969065941906184,7467
1723140000,1.091,1.0915,1.091,1.0915,0,0,25.027495706017532,14933
1723168800,1.0915,1.0919999999999999,1.0915,1.0919999999999999,0,0,23.577077216839946,21510
1723183200,1.092,1.0925,1.092,1.0925,0,0,22.09060266066773,13180
1723204800,1.092,1.092,1.0915000000000001,1.0915000000000001,0,0,20.83993625169782,29515
1723453200,1.092,1.0925,1.09128,1.0925,0,0,19.558202629890822,65693
1723471200,1.0925,1.093,1.0925,1.093,0,0,18.863873363801947,21315
1723503600,1.093,1.0935,1.09228,1.0935,0,0,18.679514868752563,24842
1723536000,1.093,1.09398,1.0925,1.0925,0,0,18.919845524533923,26257
