time,open,high,low,close
1750944600,43290,43303,43290,43303
1750944600.001,43303,43316,43303,43316
1750944600.002,43316,43329,43316,43329
1750944600.003,43329,43342,43329,43342
1750944600.004,43342,43355,43342,43355
1750944600.005,43355,43368,43355,43368
1750944600.006,43368,43381,43368,43381
1750944600.007,43381,43394,43381,43394
1750944600.008,43394,43407,43394,43407
1750944600.009,43407,43420,43407,43420
1750944600.01,43420,43433,43420,43433
1750944600.011,43433,43446,43433,43446
1750944600.012,43446,43459,43446,43459
1750944600.013,43459,43472,43459,43472
1750944600.014,43472,43485,43472,43485
1750944600.015,43485,43498,43485,43498
1750944600.016,43498,43511,43498,43511
1750948200,43511,43524,43511,43524
1750948200.001,43524,43537,43524,43537
1750948200.002,43537,43550,43537,43550
1750948200.003,43550,43563,43550,43563
1750948200.004,43563,43576,43563,43576
1750951800,43576,43589,43576,43589
1750951800.001,43589,43602,43589,43602
1750951800.002,43602,43615,43602,43615
1750951800.003,43615,43628,43615,43628
1750955400,43628,43641,43628,43641
1750959000,43641,43654,43641,43654
1750959000.001,43654,43667,43654,43667
1750959000.002,43667,43680,43667,43680
1750966200,43680,43693,43680,43693
1751031000,43693,43706,43693,43706
1751031000.001,43706,43719,43706,43719
1751031000.002,43719,43732,43719,43732
1751031000.003,43732,43745,43732,43745
1751031000.004,43745,43758,43745,43758
1751031000.005,43758,43771,43758,43771
1751031000.006,43771,43784,43771,43784
1751031000.007,43784,43797,43784,43797
1751031000.008,43797,43810,43797,43810
1751031000.009,43810,43823,43810,43823
1751031000.01,43823,43836,43823,43836
1751031000.011,43836,43849,43836,43849
1751031000.012,43849,43862,43849,43862
1751031000.013,43862,43875,43862,43875
1751031000.014,43875,43888,43875,43888
1751031000.015,43888,43901,43888,43901
1751031000.016,43901,43914,43901,43914
1751031000.017,43914,43927,43914,43927
1751031000.018,43927,43940,43927,43940
1751031000.019,43940,43953,43940,43953
1751031000.02,43953,43966,43953,43966
1751031000.021,43966,43979,43966,43979
1751031000.022,43979,43992,43979,43992
1751031000.023,43992,44005,43992,44005
1751034600,44005,44018,44005,44018
1751034600.001,44018,44031,44018,44031
1751034600.002,44031,44044,44031,44044
1751034600.003,44044,44057,44044,44057
1751034600.004,44057,44070,44057,44070
1751034600.005,44070,44083,44070,44083
1751038200,44083,44096,44083,44096
1751038200.001,44096,44109,44096,44109
1751038200.002,44109,44122,44109,44122
1751038200.003,44122,44135,44122,44135
1751038200.004,44135,44148,44135,44148
1751038200.005,44148,44161,44148,44161
1751038200.006,44161,44174,44161,44174
1751038200.007,44174,44187,44174,44187
1751038200.008,44187,44200,44187,44200
1751038200.009,44200,44213,44200,44213
1751038200.01,44213,44226,44213,44226
1751038200.011,44226,44239,44226,44239
1751038200.012,44239,44252,44239,44252
1751038200.013,44252,44265,44252,44265
1751041800,44252,44252,44239,44239
1751041800.001,44239,44239,44226,44226
1751041800.002,44226,44226,44213,44213
1751041800.003,44213,44213,44200,44200
1751041800.004,44200,44200,44187,44187
1751045400,44187,44187,44174,44174
1751045400.001,44174,44174,44161,44161
1751045400.002,44161,44161,44148,44148
1751045400.003,44148,44148,44135,44135
1751045400.004,44135,44135,44122,44122
1751045400.005,44122,44122,44109,44109
1751045400.006,44109,44109,44096,44096
1751045400.007,44096,44096,44083,44083
1751045400.008,44083,44083,44070,44070
1751045400.009,44070,44070,44057,44057
1751045400.01,44057,44057,44044,44044
1751045400.011,44044,44044,44031,44031
1751045400.012,44031,44031,44018,44018
1751045400.013,44018,44018,44005,44005
1751045400.014,44005,44005,43992,43992
1751045400.015,43992,43992,43979,43979
1751045400.016,43979,43979,43966,43966
1751045400.017,43966,43966,43953,43953
1751045400.018,43953,43953,43940,43940
1751052600,43953,43966,43953,43966
1751052600.001,43966,43979,43966,43979
1751052600.002,43979,43992,43979,43992
1751052600.003,43992,44005,43992,44005
1751052600.004,44005,44018,44005,44018
1751052600.005,44018,44031,44018,44031
