Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
26,Entry long,2025-02-12 06:00:00,[R001L rA:83 hA:49 R:72 V:0.51 B:0.95 M:- ST:U CH:35 CF:+ MI:86 SK:100 PS:U SQ:0 LC:0.64],191.4,1000,191400,6.76,0.54,7.48,0.60,-0.06,0.00,46.72,4.67
27,Exit short,2025-02-19 18:00:00,[ExitS rA:35 hA:34 R:18 V:1.64 B:0.2 M:- ST:D CH:5 CF:- MI:17 SK:15 PS:D SQ:0 LC:-0.13],189.7,1000,190300,3.83,0.31,4.56,0.36,-0.06,0.00,50.55,5.06
27,Entry short,2025-02-19 16:00:00,[R001S rA:36 hA:34 R:15 V:0.21 B:0.08 M:- ST:D CH:11 CF:- MI:45 SK:0 PS:D SQ:0 LC:-0.15],190.3,1000,190300,3.83,0.31,4.56,0.36,-0.06,0.00,50.55,5.06
28,Exit short,2025-03-03 18:00:00,[ExitS rA:79 hA:48 R:22 V:1.22 B:0.2 M:- ST:D CH:5 CF:- MI:9 SK:15 PS:D SQ:0 LC:-0.61],189.25,1000,189700,2.88,0.23,3.61,0.28,-0.06,0.00,53.44,5.34
28,Entry short,2025-03-03 15:00:00,[R001S rA:62 hA:32 R:23 V:0.63 B:0.11 M:+ ST:D CH:37 CF:- MI:42 SK:0 PS:D SQ:0 LC:-0.57],189.7,1000,189700,2.88,0.23,3.61,0.28,-0.06,0.00,53.44,5.34
29,Exit short,2025-03-04 08:00:00,[ExitS rA:69 hA:48 R:23 V:1.4 B:0.2 M:- ST:D CH:5 CF:- MI:11 SK:15 PS:D SQ:0 LC:-0.47],188.7,1000,188900,1.21,0.10,1.94,0.15,-0.06,0.00,54.65,5.46
29,Entry short,2025-03-04 05:00:00,[R001S rA:62 hA:41 R:18 V:0.55 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0 LC:-0.46],188.9,1000,188900,1.21,0.10,1.94,0.15,-0.06,0.00,54.65,5.46
30,Exit long,2025-03-04 15:00:00,[ExitL rA:78 hA:77 R:80 V:1.19 B:0.8 M:+ ST:U CH:5 CF:+ MI:88 SK:85 PS:U SQ:0 LC:0.57],191.6,1000,190950,4.21,0.33,4.62,0.36,-0.06,0.00,58.86,5.89
30,Entry long,2025-03-04 13:00:00,[R001L rA:63 hA:72 R:79 V:0.37 B:0.89 M:- ST:U CH:37 CF:+ MI:39 SK:100 PS:U SQ:0 LC:0.33],190.95,1000,190950,4.21,0.33,4.62,0.36,-0.06,0.00,58.86,5.89
31,Exit short,2025-03-05 07:00:00,[ExitS rA:53 hA:46 R:36 V:0.35 B:0.18 M:- ST:D CH:8 CF:- MI:3 SK:15 PS:D SQ:0 LC:-0.42],191.1,1000,191150,0.21,0.02,0.94,0.07,-0.06,0.00,59.06,5.91
