Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
805,Exit short,2026-03-05 14:00:00,Trail,48510,1,24300,43.1,0.18,74.05,0.30,-0.95,0.00,47867.4,478.67
805,Entry short,2026-03-05 12:00:00,Short,48600,1,24300,43.1,0.18,74.05,0.30,-0.95,0.00,47867.4,478.67
806,Exit short,2026-03-05 20:00:00,Trail,47790,1,24210,313.1,1.29,344.05,1.42,-0.95,0.00,48180.5,481.81
806,Entry short,2026-03-05 15:00:00,Short,48420,1,24210,313.1,1.29,344.05,1.42,-0.95,0.00,48180.5,481.81
807,Exit short,2026-03-06 10:00:00,Trail,47880,1,24000,58.1,0.24,89.05,0.37,-0.95,0.00,48238.6,482.39
807,Entry short,2026-03-06 09:00:00,Short,48000,1,24000,58.1,0.24,89.05,0.37,-0.95,0.00,48238.6,482.39
808,Exit short,2026-03-06 15:00:00,Trail,47160,1,23895,313.1,1.31,344.05,1.44,-0.95,0.00,48551.7,485.52
808,Entry short,2026-03-06 11:00:00,Short,47790,1,23895,313.1,1.31,344.05,1.44,-0.95,0.00,48551.7,485.52
809,Exit short,2026-03-06 19:00:00,Trail,47430,1,23685,-31.9,-0.13,0,0.00,-30.95,-0.13,48519.8,485.20
809,Entry short,2026-03-06 17:00:00,Short,47370,1,23685,-31.9,-0.13,0,0.00,-30.95,-0.13,48519.8,485.20
810,Exit short,2026-03-09 02:00:00,Trail,46470,1,23715,478.1,2.02,509.05,2.15,-0.95,0.00,48997.9,489.98
810,Entry short,2026-03-08 22:00:00,Short,47430,1,23715,478.1,2.02,509.05,2.15,-0.95,0.00,48997.9,489.98
811,Exit short,2026-03-09 14:00:00,Trail,46920,1,23475,13.1,0.06,44.05,0.19,-0.95,0.00,49011,490.11
811,Entry short,2026-03-09 10:00:00,Short,46950,1,23475,13.1,0.06,44.05,0.19,-0.95,0.00,49011,490.11
812,Exit short,2026-03-09 18:00:00,Trail,47130,1,23565,-1.9,-0.01,29.05,0.12,-0.95,0.00,49009.1,490.09
812,Entry short,2026-03-09 17:00:00,Short,47130,1,23565,-1.9,-0.01,29.05,0.12,-0.95,0.00,49009.1,490.09
813,Exit short,2026-03-10 00:00:00,Trail,47640,1,23835,13.1,0.05,44.05,0.18,-0.95,0.00,49022.2,490.22
813,Entry short,2026-03-09 22:00:00,Short,47670,1,23835,13.1,0.05,44.05,0.18,-0.95,0.00,49022.2,490.22
814,Exit short,2026-03-10 05:00:00,Trail,47640,1,23805,-16.9,-0.07,14.05,0.06,-15.95,-0.07,49005.3,490.05
814,Entry short,2026-03-10 02:00:00,Short,47610,1,23805,-16.9,-0.07,14.05,0.06,-15.95,-0.07,49005.3,490.05
815,Exit long,2026-03-10 18:00:00,Trail,48090,1,23985,58.1,0.24,89.05,0.37,-0.95,0.00,49063.4,490.63
815,Entry long,2026-03-10 14:00:00,Long,47970,1,23985,58.1,0.24,89.05,0.37,-0.95,0.00,49063.4,490.63
816,Exit long,2026-03-11 05:00:00,Trail,47880,1,23910,28.1,0.12,59.05,0.25,-0.95,0.00,49091.5,490.92
816,Entry long,2026-03-11 00:00:00,Long,47820,1,23910,28.1,0.12,59.05,0.25,-0.95,0.00,49091.5,490.92
817,Exit short,2026-03-11 16:00:00,Trail,47340,1,23700,28.1,0.12,59.05,0.25,-0.95,0.00,49119.6,491.20
817,Entry short,2026-03-11 15:00:00,Short,47400,1,23700,28.1,0.12,59.05,0.25,-0.95,0.00,49119.6,491.20
818,Exit short,2026-03-12 06:00:00,Trail,46980,1,23670,178.1,0.75,222.55,0.94,-0.95,0.00,49297.7,492.98
818,Entry short,2026-03-11 22:00:00,Short,47340,1,23670,178.1,0.75,222.55,0.94,-0.95,0.00,49297.7,492.98
819,Exit short,2026-03-12 22:00:00,Trail,46800,1,23565,163.1,0.69,194.05,0.82,-0.95,0.00,49460.8,494.61
819,Entry short,2026-03-12 11:00:00,Short,47130,1,23565,163.1,0.69,194.05,0.82,-0.95,0.00,49460.8,494.61
820,Exit short,2026-03-13 09:00:00,Trail,46680,1,23415,73.1,0.31,104.05,0.44,-0.95,0.00,49533.9,495.34
820,Entry short,2026-03-13 06:00:00,Short,46830,1,23415,73.1,0.31,104.05,0.44,-0.95,0.00,49533.9,495.34
821,Exit short,2026-03-13 18:00:00,Trail,46710,1,23445,88.1,0.38,119.05,0.51,-0.95,0.00,49622,496.22
821,Entry short,2026-03-13 14:00:00,Short,46890,1,23445,88.1,0.38,119.05,0.51,-0.95,0.00,49622,496.22
822,Exit short,2026-03-15 22:00:00,Trail,46590,1,23310,13.1,0.06,44.05,0.19,-0.95,0.00,49635.1,496.35
