Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
60,Entry short,2025-05-06 18:00:00,[R001S rA:32 R:30 V:0.48 B:0.17 M:+ ST:D CH:31 CF:- MI:25 SK:0/0 PS:D SQ:0 LC:-0.06],142.55,1000,142550,0.25,0.03,0.99,0.10,-0.05,0.00,146.41,14.64
61,Exit long,2025-05-09 00:00:00,[ExitL rA:75 R:83 V:0.6 B:0.8 M:+ ST:U CH:9 CF:+ MI:95 SK:95/98 PS:U SQ:0 LC:0.54],145.85,1000,144850,6.75,0.68,7.49,0.75,-0.05,0.00,153.16,15.32
61,Entry long,2025-05-08 14:00:00,[R001L rA:61 R:77 V:0.47 B:0.89 M:- ST:U CH:37 CF:- MI:31 SK:100/100 PS:U SQ:0 LC:0.36],144.85,1000,144850,6.75,0.68,7.49,0.75,-0.05,0.00,153.16,15.32
62,Exit long,2025-05-12 18:00:00,[ExitL rA:80 R:67 V:1.45 B:0.81 M:+ ST:U CH:13 CF:+ MI:88 SK:95/98 PS:U SQ:0 LC:0.57],148.4,1000,148200,1.27,0.12,2.01,0.20,-0.05,0.00,154.43,15.44
62,Entry long,2025-05-12 16:00:00,[R001L rA:59 R:65 V:0.52 B:0.59 M:- ST:U CH:24 CF:+ MI:78 SK:95/87 PS:U SQ:0 LC:0.45],148.2,1000,148200,1.27,0.12,2.01,0.20,-0.05,0.00,154.43,15.44
63,Exit short,2025-05-21 19:00:00,[ExitS rA:48 R:34 V:1.23 B:0.19 M:- ST:D CH:11 CF:- MI:13 SK:7/4 PS:D SQ:0 LC:-0.29],143.6,1000,143600,-0.1,-0.01,0.64,0.06,-0.05,0.00,154.34,15.43
63,Entry short,2025-05-21 17:00:00,[R001S rA:47 R:28 V:0.58 B:0.12 M:- ST:D CH:15 CF:- MI:12 SK:29/43 PS:D SQ:0 LC:-0.32],143.6,1000,143600,-0.1,-0.01,0.64,0.06,-0.05,0.00,154.34,15.43
64,Exit short,2025-05-25 22:00:00,[ExitS rA:35 R:28 V:0.32 B:0.24 M:+ ST:D CH:26 CF:- MI:40 SK:6/2 PS:D SQ:0 LC:-0.18],142.6,1000,142550,-0.45,-0.05,0,0.00,-0.4,-0.04,153.88,15.39
64,Entry short,2025-05-25 22:00:00,[R001S rA:32 R:18 V:0.42 B:0.1 M:- ST:D CH:20 CF:- MI:37 SK:0/6 PS:D SQ:0 LC:-0.17],142.55,1000,142550,-0.45,-0.05,0,0.00,-0.4,-0.04,153.88,15.39
65,Exit long,2025-05-28 18:00:00,[ExitL rA:46 R:72 V:2.2 B:0.8 M:+ ST:U CH:5 CF:+ MI:82 SK:94/98 PS:U SQ:0 LC:0.17],144.9,1000,144600,1.98,0.20,2.72,0.27,-0.05,0.00,155.86,15.59
65,Entry long,2025-05-28 13:00:00,[R001L rA:47 R:70 V:0.58 B:0.95 M:+ ST:U CH:12 CF:+ MI:75 SK:52/41 PS:U SQ:0 LC:0.18],144.6,1000,144600,1.98,0.20,2.72,0.27,-0.05,0.00,155.86,15.59
66,Exit short,2025-05-30 04:00:00,[ExitS rA:61 R:22 V:4.19 B:0.21 M:+ ST:D CH:18 CF:- MI:45 SK:7/3 PS:D SQ:0 LC:-0.57],143.85,1000,143850,-0.1,-0.01,0.48,0.05,-0.4,-0.04,155.76,15.58
66,Entry short,2025-05-30 01:00:00,[R001S rA:61 R:11 V:0.28 B:0.09 M:- ST:D CH:13 CF:- MI:21 SK:0/3 PS:D SQ:0 LC:-0.59],143.85,1000,143850,-0.1,-0.01,0.48,0.05,-0.4,-0.04,155.76,15.58
67,Exit short,2025-06-03 00:00:00,[ExitS rA:76 R:30 V:0.51 B:0.17 M:+ ST:D CH:20 CF:- MI:56 SK:7/2 PS:D SQ:0 LC:-0.62],142.55,1000,142650,0.6,0.06,1.35,0.14,-0.05,0.00,156.36,15.64
67,Entry short,2025-06-02 22:00:00,[R001S rA:77 R:27 V:0.27 B:0.06 M:+ ST:D CH:42 CF:- MI:53 SK:0/0 PS:D SQ:0 LC:-0.63],142.65,1000,142650,0.6,0.06,1.35,0.14,-0.05,0.00,156.36,15.64
68,Exit short,2025-06-13 03:00:00,[ExitS rA:56 R:30 V:2.43 B:0.18 M:- ST:D CH:11 CF:- MI:21 SK:7/2 PS:D SQ:0 LC:-0.39],143.15,1000,143400,1.64,0.16,2.39,0.24,-0.05,0.00,158.01,15.80
68,Entry short,2025-06-12 23:00:00,[R001S rA:55 R:32 V:0.17 B:0.24 M:+ ST:D CH:29 CF:- MI:35 SK:7/19 PS:D SQ:0 LC:-0.43],143.4,1000,143400,1.64,0.16,2.39,0.24,-0.05,0.00,158.01,15.80
69,Exit long,2025-06-16 00:00:00,[ExitL rA:44 R:66 V:1.5 B:0.83 M:+ ST:U CH:11 CF:- MI:40 SK:95/98 PS:U SQ:0 LC:0.27],144.45,1000,144250,1.29,0.13,2.03,0.20,-0.05,0.00,159.29,15.93
69,Entry long,2025-06-15 21:00:00,[R001L rA:31 R:64 V:0.06 B:0.73 M:- ST:U CH:36 CF:- MI:18 SK:100/99 PS:U SQ:0 LC:0.02],144.25,1000,144250,1.29,0.13,2.03,0.20,-0.05,0.00,159.29,15.93
70,Exit short,2025-06-24 15:00:00,[ExitS rA:49 R:24 V:0.81 B:0.19 M:+ ST:D CH:21 CF:- MI:27 SK:5/2 PS:D SQ:0 LC:-0.26],144.85,1000,144800,-0.44,-0.04,0.29,0.03,-0.39,-0.04,158.85,15.89
70,Entry short,2025-06-24 14:00:00,[R001S rA:45 R:14 V:1.31 B:0.06 M:+ ST:D CH:22 CF:- MI:23 SK:38/50 PS:D SQ:0 LC:-0.28],144.8,1000,144800,-0.44,-0.04,0.29,0.03,-0.39,-0.04,158.85,15.89
71,Exit long,2025-07-13 21:00:00,[ExitL rA:38 R:70 V:0.54 B:0.84 M:+ ST:U CH:20 CF:+ MI:91 SK:94/98 PS:U SQ:0 LC:0.23],147.3,1000,147150,0.92,0.09,1.82,0.18,-0.05,0.00,159.78,15.98
71,Entry long,2025-07-11 13:00:00,[R001L rA:32 R:71 V:0.9 B:0.93 M:+ ST:U CH:44 CF:+ MI:84 SK:66/51 PS:U SQ:0 LC:0.24],147.15,1000,147150,0.92,0.09,1.82,0.18,-0.05,0.00,159.78,15.98
72,Exit long,2025-07-16 00:00:00,[ExitL rA:50 R:80 V:2.88 B:0.8 M:+ ST:U CH:5 CF:+ MI:76 SK:93/98 PS:U SQ:0 LC:0.37],148.85,1000,147950,5.94,0.60,6.38,0.64,-0.05,0.00,165.72,16.57
72,Entry long,2025-07-15 13:00:00,[R001L rA:42 R:72 V:0.42 B:1 M:+ ST:U CH:37 CF:+ MI:64 SK:100/94 PS:U SQ:0 LC:0.33],147.95,1000,147950,5.94,0.60,6.38,0.64,-0.05,0.00,165.72,16.57
73,Exit long,2025-07-29 02:00:00,[ExitL rA:68 R:68 V:0.4 B:0.82 M:+ ST:U CH:18 CF:+ MI:77 SK:95/98 PS:U SQ:0 LC:0.56],148.55,1000,148400,0.91,0.09,1.63,0.16,-0.05,0.00,166.63,16.66
