Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
35,Exit short,2025-02-06 17:00:00,[ExitS 5A:44 bA:44 R:29 V:0.71 B:0.17 M:- ST:D CH:11 CF:- MI:24 SK:17 PS:D SQ:0],188,1000,188200,1.2,0.10,1.92,0.15,-0.06,0.00,84.88,8.49
35,Entry short,2025-02-06 15:00:00,[R001S 5A:36 bA:36 R:29 V:0.36 B:0.1 M:- ST:D CH:26 CF:- MI:20 SK:0 PS:D SQ:0],188.2,1000,188200,1.2,0.10,1.92,0.15,-0.06,0.00,84.88,8.49
36,Exit short,2025-02-07 09:00:00,[ExitS 5A:70 bA:70 R:18 V:0.96 B:0.2 M:- ST:D CH:5 CF:- MI:7 SK:15 PS:D SQ:0],187.65,1000,189150,9.78,0.78,10.5,0.84,-0.06,0.00,94.66,9.47
36,Entry short,2025-02-07 05:00:00,[R001S 5A:52 bA:52 R:59 V:0.83 B:0.52 M:- ST:D CH:19 CF:+ MI:71 SK:33 PS:D SQ:0],189.15,1000,189150,9.78,0.78,10.5,0.84,-0.06,0.00,94.66,9.47
37,Exit long,2025-02-07 10:00:00,[ExitL 5A:44 bA:44 R:49 V:0.82 B:0.79 M:+ ST:U CH:14 CF:+ MI:72 SK:82 PS:U SQ:0],188,1000,187850,0.87,0.07,1.59,0.13,-0.06,0.00,95.52,9.55
37,Entry long,2025-02-07 09:00:00,[R001L 5A:63 bA:63 R:38 V:0.98 B:0.48 M:+ ST:U CH:19 CF:- MI:35 SK:67 PS:U SQ:0],187.85,1000,187850,0.87,0.07,1.59,0.13,-0.06,0.00,95.52,9.55
38,Exit short,2025-02-10 09:00:00,[ExitS 5A:45 bA:45 R:28 V:5.43 B:0.2 M:- ST:D CH:5 CF:- MI:48 SK:15 PS:D SQ:0],187.85,1000,188350,3.18,0.26,3.9,0.31,-0.06,0.00,98.7,9.87
38,Entry short,2025-02-10 05:00:00,[R001S 5A:35 bA:35 R:41 V:0.81 B:0.05 M:- ST:D CH:12 CF:- MI:26 SK:0 PS:D SQ:0],188.35,1000,188350,3.18,0.26,3.9,0.31,-0.06,0.00,98.7,9.87
39,Exit long,2025-02-11 15:00:00,[ExitL 5A:82 bA:82 R:84 V:1.58 B:0.8 M:+ ST:U CH:5 CF:+ MI:90 SK:85 PS:U SQ:0],189.8,1000,188850,6.1,0.49,6.51,0.52,-0.06,0.00,104.8,10.48
39,Entry long,2025-02-11 06:00:00,[R001L 5A:52 bA:52 R:88 V:1.39 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],188.85,1000,188850,6.1,0.49,6.51,0.52,-0.06,0.00,104.8,10.48
40,Exit long,2025-02-12 10:00:00,[ExitL 5A:78 bA:78 R:82 V:0.56 B:0.8 M:+ ST:U CH:5 CF:+ MI:95 SK:85 PS:U SQ:0],192.45,1000,191400,6.76,0.54,7.48,0.60,-0.06,0.00,111.56,11.16
