Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
20,Entry short,2025-11-06 06:00:00,[R001S 5A:32 bA:32 R:47 V:0.47 B:0.03 M:- ST:D CH:44 CF:- MI:48 SK:0 PS:D SQ:0],200.9,1000,200900,1.82,0.14,2.53,0.19,-0.07,0.00,61.66,6.17
21,Exit long,2025-11-07 07:00:00,[ExitL 5A:32 bA:32 R:68 V:2.1 B:0.81 M:+ ST:U CH:5 CF:+ MI:80 SK:85 PS:U SQ:0],201.5,1000,201500,-0.13,-0.01,0.59,0.04,-0.07,0.00,61.53,6.15
21,Entry long,2025-11-07 06:00:00,[R001L 5A:26 bA:26 R:75 V:1.16 B:0.98 M:+ ST:U CH:3 CF:- MI:89 SK:100 PS:U SQ:0],201.5,1000,201500,-0.13,-0.01,0.59,0.04,-0.07,0.00,61.53,6.15
22,Exit short,2025-11-10 09:00:00,[ExitS 5A:43 bA:43 R:46 V:1.23 B:0.16 M:- ST:D CH:16 CF:- MI:35 SK:18 PS:D SQ:0],202.65,1000,202800,0.85,0.06,1.56,0.12,-0.07,0.00,62.37,6.24
22,Entry short,2025-11-10 07:00:00,[R001S 5A:60 bA:60 R:54 V:0.54 B:0.2 M:- ST:D CH:39 CF:- MI:33 SK:0 PS:D SQ:0],202.8,1000,202800,0.85,0.06,1.56,0.12,-0.07,0.00,62.37,6.24
23,Exit long,2025-11-13 10:00:00,[ExitL 5A:38 bA:38 R:66 V:2.13 B:0.79 M:+ ST:U CH:27 CF:+ MI:52 SK:77 PS:U SQ:0],203.85,1000,203850,-0.13,-0.01,0.58,0.04,-0.07,0.00,62.24,6.22
23,Entry long,2025-11-13 08:00:00,[R001L 5A:35 bA:35 R:71 V:0.91 B:0.94 M:+ ST:U CH:28 CF:+ MI:62 SK:100 PS:U SQ:0],203.85,1000,203850,-0.13,-0.01,0.58,0.04,-0.07,0.00,62.24,6.22
24,Exit long,2025-11-14 07:00:00,[ExitL 5A:27 bA:27 R:45 V:2.01 B:0.46 M:+ ST:U CH:31 CF:- MI:60 SK:71 PS:U SQ:0],203,1000,203050,-0.45,-0.03,0.26,0.02,-0.39,-0.03,61.79,6.18
24,Entry long,2025-11-14 06:00:00,[R001L 5A:31 bA:31 R:48 V:0.84 B:0.48 M:+ ST:U CH:19 CF:+ MI:64 SK:67 PS:U SQ:0],203.05,1000,203050,-0.45,-0.03,0.26,0.02,-0.39,-0.03,61.79,6.18
25,Exit long,2025-11-17 09:00:00,[ExitL 5A:62 bA:62 R:77 V:1.87 B:0.81 M:+ ST:U CH:5 CF:+ MI:87 SK:81 PS:U SQ:0],204.4,1000,204150,1.48,0.11,2.37,0.18,-0.07,0.00,63.27,6.33
