Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
114,Exit long,2024-10-18 06:00:00,Trail,43470,1,21705,28.1,0.13,65.05,0.30,-0.95,0.00,7298.4,72.98
114,Entry long,2024-10-17 12:00:00,Long,43410,1,21705,28.1,0.13,65.05,0.30,-0.95,0.00,7298.4,72.98
115,Exit short,2024-10-22 14:00:00,Trail,43050,1,21570,43.1,0.20,75.05,0.35,-23.95,-0.11,7341.5,73.41
115,Entry short,2024-10-21 18:00:00,Short,43140,1,21570,43.1,0.20,75.05,0.35,-23.95,-0.11,7341.5,73.41
116,Exit short,2024-10-23 18:00:00,Trail,42720,1,21405,43.1,0.20,74.05,0.35,-0.95,0.00,7384.6,73.85
116,Entry short,2024-10-23 16:00:00,Short,42810,1,21405,43.1,0.20,74.05,0.35,-0.95,0.00,7384.6,73.85
117,Exit long,2024-10-25 19:00:00,Trail,42330,1,21195,-31.9,-0.15,0,0.00,-30.95,-0.15,7352.7,73.53
117,Entry long,2024-10-25 18:00:00,Long,42390,1,21195,-31.9,-0.15,0,0.00,-30.95,-0.15,7352.7,73.53
118,Exit short,2024-10-31 16:00:00,Trail,42000,1,21105,103.1,0.49,134.05,0.64,-0.95,0.00,7455.8,74.56
118,Entry short,2024-10-31 06:00:00,Short,42210,1,21105,103.1,0.49,134.05,0.64,-0.95,0.00,7455.8,74.56
119,Exit short,2024-11-04 17:00:00,Trail,41910,1,20925,-31.9,-0.15,0,0.00,-30.95,-0.15,7423.9,74.24
119,Entry short,2024-11-04 16:00:00,Short,41850,1,20925,-31.9,-0.15,0,0.00,-30.95,-0.15,7423.9,74.24
120,Exit long,2024-11-12 20:00:00,Trail,44160,1,22065,13.1,0.06,44.05,0.20,-0.95,0.00,7437,74.37
120,Entry long,2024-11-12 18:00:00,Long,44130,1,22065,13.1,0.06,44.05,0.20,-0.95,0.00,7437,74.37
121,Exit short,2024-11-15 12:00:00,Trail,43740,1,21900,28.1,0.13,59.05,0.27,-0.95,0.00,7465.1,74.65
121,Entry short,2024-11-15 01:00:00,Short,43800,1,21900,28.1,0.13,59.05,0.27,-0.95,0.00,7465.1,74.65
122,Exit short,2024-11-19 14:00:00,Trail,43110,1,21600,43.1,0.20,74.05,0.34,-0.95,0.00,7508.2,75.08
122,Entry short,2024-11-19 13:00:00,Short,43200,1,21600,43.1,0.20,74.05,0.34,-0.95,0.00,7508.2,75.08
123,Exit long,2024-11-21 20:00:00,Trail,44010,1,21930,73.1,0.33,104.05,0.47,-0.95,0.00,7581.3,75.81
123,Entry long,2024-11-21 16:00:00,Long,43860,1,21930,73.1,0.33,104.05,0.47,-0.95,0.00,7581.3,75.81
124,Exit short,2024-11-27 13:00:00,Trail,45000,1,22470,-31.9,-0.14,10.05,0.04,-30.95,-0.14,7549.4,75.49
124,Entry short,2024-11-27 08:00:00,Short,44940,1,22470,-31.9,-0.14,10.05,0.04,-30.95,-0.14,7549.4,75.49
125,Exit short,2024-12-05 14:00:00,Trail,45120,1,22530,-31.9,-0.14,0,0.00,-30.95,-0.14,7517.5,75.18
125,Entry short,2024-12-05 13:00:00,Short,45060,1,22530,-31.9,-0.14,0,0.00,-30.95,-0.14,7517.5,75.18
126,Exit short,2024-12-13 08:00:00,Trail,44010,1,21990,-16.9,-0.08,17.05,0.08,-15.95,-0.07,7500.6,75.01
126,Entry short,2024-12-12 20:00:00,Short,43980,1,21990,-16.9,-0.08,17.05,0.08,-15.95,-0.07,7500.6,75.01
127,Exit short,2024-12-19 00:00:00,Trail,42840,1,21870,448.1,2.05,479.05,2.19,-0.95,0.00,7948.7,79.49
127,Entry short,2024-12-18 19:00:00,Short,43740,1,21870,448.1,2.05,479.05,2.19,-0.95,0.00,7948.7,79.49
128,Exit short,2024-12-23 16:00:00,Trail,43050,1,21510,-16.9,-0.08,14.05,0.07,-15.95,-0.07,7931.8,79.32
128,Entry short,2024-12-23 15:00:00,Short,43020,1,21510,-16.9,-0.08,14.05,0.07,-15.95,-0.07,7931.8,79.32
129,Exit short,2024-12-30 15:00:00,Trail,42750,1,21480,103.1,0.48,134.05,0.62,-0.95,0.00,8034.9,80.35
129,Entry short,2024-12-30 13:00:00,Short,42960,1,21480,103.1,0.48,134.05,0.62,-0.95,0.00,8034.9,80.35
130,Exit short,2025-01-02 20:00:00,Trail,42630,1,21570,253.1,1.17,289.05,1.34,-19.95,-0.09,8288,82.88
130,Entry short,2025-01-02 13:00:00,Short,43140,1,21570,253.1,1.17,289.05,1.34,-19.95,-0.09,8288,82.88
131,Exit short,2025-01-10 17:00:00,Trail,42210,1,21195,88.1,0.42,119.05,0.56,-0.95,0.00,8376.1,83.76
131,Entry short,2025-01-10 15:00:00,Short,42390,1,21195,88.1,0.42,119.05,0.56,-0.95,0.00,8376.1,83.76
132,Exit long,2025-01-14 14:00:00,Trail,42600,1,21315,-16.9,-0.08,23.55,0.11,-15.95,-0.07,8359.2,83.59
132,Entry long,2025-01-14 08:00:00,Long,42630,1,21315,-16.9,-0.08,23.55,0.11,-15.95,-0.07,8359.2,83.59
133,Exit long,2025-01-15 15:00:00,Trail,43410,1,21510,193.1,0.90,224.05,1.04,-0.95,0.00,8552.3,85.52
133,Entry long,2025-01-15 13:00:00,Long,43020,1,21510,193.1,0.90,224.05,1.04,-0.95,0.00,8552.3,85.52
134,Exit long,2025-01-17 19:00:00,Trail,43740,1,21885,-16.9,-0.08,21.55,0.10,-15.95,-0.07,8535.4,85.35
134,Entry long,2025-01-17 16:00:00,Long,43770,1,21885,-16.9,-0.08,21.55,0.10,-15.95,-0.07,8535.4,85.35
