Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
76,Exit long,2025-01-27 07:00:00,[ExitL 5A:45 bA:45 R:49 V:0.55 B:0.79 M:+ ST:U CH:14 CF:+ MI:91 SK:82 PS:U SQ:0],192.85,1000,192850,-0.12,-0.01,0.58,0.05,-0.06,0.00,192.9,19.29
76,Entry long,2025-01-27 06:00:00,[R001L 5A:55 bA:55 R:49 V:1.09 B:0.79 M:+ ST:U CH:19 CF:+ MI:87 SK:100 PS:U SQ:0],192.85,1000,192850,-0.12,-0.01,0.58,0.05,-0.06,0.00,192.9,19.29
77,Exit short,2025-01-27 10:00:00,[ExitS 5A:37 bA:37 R:37 V:1.65 B:0.27 M:- ST:D CH:18 CF:+ MI:57 SK:20 PS:D SQ:0],192.55,1000,192850,1.8,0.15,2.5,0.20,-0.06,0.00,194.7,19.47
77,Entry short,2025-01-27 07:00:00,[R002S 5A:45 bA:45 R:49 V:0.55 B:0.79 M:+ ST:U CH:14 CF:+ MI:91 SK:82 PS:U SQ:0],192.85,1000,192850,1.8,0.15,2.5,0.20,-0.06,0.00,194.7,19.47
78,Exit long,2025-01-27 15:00:00,[ExitL 5A:29 bA:29 R:61 V:1.16 B:0.82 M:+ ST:U CH:8 CF:+ MI:80 SK:82 PS:U SQ:0],193,1000,192950,0.2,0.02,1.06,0.09,-0.06,0.00,194.9,19.49
78,Entry long,2025-01-27 11:00:00,[R001L 5A:27 bA:27 R:64 V:0.44 B:0.88 M:+ ST:U CH:15 CF:+ MI:60 SK:100 PS:U SQ:0],192.95,1000,192950,0.2,0.02,1.06,0.09,-0.06,0.00,194.9,19.49
79,Exit short,2025-01-27 16:00:00,[ExitS 5A:27 bA:27 R:59 V:0.5 B:0.76 M:+ ST:D CH:17 CF:+ MI:71 SK:76 PS:D SQ:0],193,1000,193000,-0.12,-0.01,0.58,0.05,-0.06,0.00,194.77,19.48
79,Entry short,2025-01-27 15:00:00,[R002S 5A:29 bA:29 R:61 V:1.16 B:0.82 M:+ ST:U CH:8 CF:+ MI:80 SK:82 PS:U SQ:0],193,1000,193000,-0.12,-0.01,0.58,0.05,-0.06,0.00,194.77,19.48
80,Exit long,2025-01-28 00:00:00,[ExitL 5A:52 bA:52 R:76 V:3.46 B:0.8 M:+ ST:U CH:5 CF:+ MI:71 SK:84 PS:U SQ:0],193.75,1000,193750,-0.13,-0.01,0.6,0.05,-0.06,0.00,194.65,19.46
80,Entry long,2025-01-27 20:00:00,[R001L 5A:47 bA:47 R:85 V:0.69 B:0.94 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],193.75,1000,193750,-0.13,-0.01,0.6,0.05,-0.06,0.00,194.65,19.46
81,Exit long,2025-01-28 09:00:00,[ExitL 5A:26 bA:26 R:58 V:2.83 B:0.82 M:+ ST:U CH:19 CF:- MI:49 SK:82 PS:U SQ:0],193.45,1000,193350,0.52,0.04,1.23,0.10,-0.06,0.00,195.17,19.52
81,Entry long,2025-01-28 07:00:00,[R001L 5A:27 bA:27 R:56 V:0.4 B:0.68 M:+ ST:U CH:34 CF:- MI:40 SK:100 PS:U SQ:0],193.35,1000,193350,0.52,0.04,1.23,0.10,-0.06,0.00,195.17,19.52
82,Exit short,2025-01-29 08:00:00,[ExitS 5A:38 bA:38 R:29 V:2.32 B:0.18 M:- ST:D CH:10 CF:- MI:15 SK:15 PS:D SQ:0],192.7,1000,192850,0.84,0.07,1.55,0.12,-0.06,0.00,196.01,19.60
82,Entry short,2025-01-29 05:00:00,[R001S 5A:26 bA:26 R:27 V:1.24 B:-0.02 M:- ST:D CH:22 CF:- MI:13 SK:0 PS:D SQ:0],192.85,1000,192850,0.84,0.07,1.55,0.12,-0.06,0.00,196.01,19.60
83,Exit short,2025-01-29 19:00:00,[ExitS 5A:43 bA:43 R:27 V:1.09 B:0.2 M:- ST:D CH:5 CF:- MI:10 SK:15 PS:D SQ:0],192.3,1000,193150,5.35,0.43,6.05,0.49,-0.06,0.00,201.36,20.14
83,Entry short,2025-01-29 16:00:00,[R002S 5A:27 bA:27 R:58 V:0.31 B:0.82 M:+ ST:U CH:7 CF:+ MI:91 SK:79 PS:U SQ:0],193.15,1000,193150,5.35,0.43,6.05,0.49,-0.06,0.00,201.36,20.14
84,Exit long,2025-01-29 22:00:00,[ExitL 5A:43 bA:43 R:31 V:1.71 B:0.25 M:- ST:U CH:19 CF:- MI:27 SK:20 PS:U SQ:0],192.3,1000,192300,-0.12,-0.01,0.7,0.06,-0.06,0.00,201.23,20.12
84,Entry long,2025-01-29 19:00:00,[R002L 5A:43 bA:43 R:27 V:1.09 B:0.2 M:- ST:D CH:5 CF:- MI:10 SK:15 PS:D SQ:0],192.3,1000,192300,-0.12,-0.01,0.7,0.06,-0.06,0.00,201.23,20.12
85,Exit short,2025-01-30 06:00:00,[ExitS 5A:45 bA:45 R:30 V:3.47 B:0.17 M:- ST:D CH:8 CF:- MI:40 SK:15 PS:D SQ:0],191.85,1000,192100,1.49,0.12,2.19,0.18,-0.06,0.00,202.72,20.27
85,Entry short,2025-01-30 04:00:00,[R001S 5A:37 bA:37 R:32 V:1.26 B:-0.02 M:+ ST:D CH:38 CF:- MI:37 SK:0 PS:D SQ:0],192.1,1000,192100,1.49,0.12,2.19,0.18,-0.06,0.00,202.72,20.27
86,Exit short,2025-01-30 10:00:00,[ExitS 5A:25 bA:25 R:52 V:0.53 B:0.76 M:+ ST:D CH:20 CF:+ MI:84 SK:80 PS:U SQ:0],192.15,1000,192150,-0.12,-0.01,0.58,0.05,-0.06,0.00,202.6,20.26
86,Entry short,2025-01-30 09:00:00,[R002S 5A:30 bA:30 R:51 V:0.63 B:0.73 M:+ ST:U CH:18 CF:+ MI:81 SK:80 PS:U SQ:0],192.15,1000,192150,-0.12,-0.01,0.58,0.05,-0.06,0.00,202.6,20.26
87,Exit short,2025-01-30 16:00:00,[ExitS 5A:36 bA:36 R:30 V:1.04 B:0.19 M:- ST:D CH:5 CF:- MI:8 SK:15 PS:D SQ:0],191.55,1000,191650,0.52,0.04,1.23,0.10,-0.06,0.00,203.12,20.31
