Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
27,Exit long,2024-07-15 22:00:00,TP,64200,0.001,63.45,0.74,1.17,0.75,1.18,-0.28,-0.45,5.39,0.54
27,Entry long,2024-07-15 16:00:00,Long,63450,0.001,63.45,0.74,1.17,0.75,1.18,-0.28,-0.45,5.39,0.54
28,Exit long,2024-07-17 00:00:00,TP,65400,0.001,64.65,0.74,1.15,0.75,1.16,-0.14,-0.22,6.14,0.61
28,Entry long,2024-07-16 15:00:00,Long,64650,0.001,64.65,0.74,1.15,0.75,1.16,-0.14,-0.22,6.14,0.61
29,Exit long,2024-07-19 16:00:00,TP,66150,0.001,65.4,0.74,1.14,0.75,1.14,-0.003,0.00,6.88,0.69
29,Entry long,2024-07-19 14:00:00,Long,65400,0.001,65.4,0.74,1.14,0.75,1.14,-0.003,0.00,6.88,0.69
30,Exit long,2024-07-21 06:00:00,SL,66900,0.001,67.2,-0.31,-0.46,0.3,0.44,-0.3,-0.45,6.57,0.66
30,Entry long,2024-07-20 17:00:00,Long,67200,0.001,67.2,-0.31,-0.46,0.3,0.44,-0.3,-0.45,6.57,0.66
31,Exit long,2024-07-23 04:00:00,SL,67350,0.001,67.65,-0.31,-0.45,0.49,0.72,-0.3,-0.45,6.27,0.63
31,Entry long,2024-07-22 19:00:00,Long,67650,0.001,67.65,-0.31,-0.45,0.49,0.72,-0.3,-0.45,6.27,0.63
32,Exit long,2024-07-26 02:00:00,TP,66900,0.001,66.15,0.74,1.12,0.75,1.13,-0.003,0.00,7.01,0.70
32,Entry long,2024-07-26 00:00:00,Long,66150,0.001,66.15,0.74,1.12,0.75,1.13,-0.003,0.00,7.01,0.70
33,Exit long,2024-07-27 13:00:00,TP,69000,0.001,68.25,0.74,1.09,0.75,1.09,-0.003,0.00,7.75,0.78
33,Entry long,2024-07-27 12:00:00,Long,68250,0.001,68.25,0.74,1.09,0.75,1.09,-0.003,0.00,7.75,0.78
34,Exit long,2024-07-27 23:00:00,SL,68550,0.001,68.85,-0.31,-0.44,0,0.00,-0.3,-0.44,7.45,0.74
34,Entry long,2024-07-27 21:00:00,Long,68850,0.001,68.85,-0.31,-0.44,0,0.00,-0.3,-0.44,7.45,0.74
35,Exit long,2024-07-29 02:00:00,TP,69300,0.001,68.55,0.74,1.08,0.75,1.09,-0.003,0.00,8.19,0.82
35,Entry long,2024-07-29 00:00:00,Long,68550,0.001,68.55,0.74,1.08,0.75,1.09,-0.003,0.00,8.19,0.82
36,Exit long,2024-08-02 02:00:00,SL,64500,0.001,64.8,-0.31,-0.47,0.45,0.69,-0.3,-0.47,7.89,0.79
36,Entry long,2024-08-01 21:00:00,Long,64800,0.001,64.8,-0.31,-0.47,0.45,0.69,-0.3,-0.47,7.89,0.79
37,Exit long,2024-08-05 14:00:00,TP,52650,0.001,51.9,0.75,1.44,0.75,1.44,-0.002,0.00,8.63,0.86
37,Entry long,2024-08-05 13:00:00,Long,51900,0.001,51.9,0.75,1.44,0.75,1.44,-0.002,0.00,8.63,0.86
38,Exit long,2024-08-05 23:00:00,SL,54150,0.001,54.45,-0.3,-0.56,0.15,0.27,-0.3,-0.56,8.33,0.83
38,Entry long,2024-08-05 22:00:00,Long,54450,0.001,54.45,-0.3,-0.56,0.15,0.27,-0.3,-0.56,8.33,0.83
39,Exit long,2024-08-06 16:00:00,TP,56550,0.001,55.8,0.74,1.33,0.75,1.34,-0.003,0.00,9.07,0.91
39,Entry long,2024-08-06 14:00:00,Long,55800,0.001,55.8,0.74,1.33,0.75,1.34,-0.003,0.00,9.07,0.91
40,Exit long,2024-08-08 12:00:00,TP,57600,0.001,56.85,0.74,1.31,0.75,1.31,-0.003,0.00,9.82,0.98
40,Entry long,2024-08-08 01:00:00,Long,56850,0.001,56.85,0.74,1.31,0.75,1.31,-0.003,0.00,9.82,0.98
41,Exit long,2024-08-08 13:00:00,SL,57450,0.001,57.75,-0.31,-0.53,0.15,0.26,-0.3,-0.52,9.51,0.95
41,Entry long,2024-08-08 12:00:00,Long,57750,0.001,57.75,-0.31,-0.53,0.15,0.26,-0.3,-0.52,9.51,0.95
42,Exit long,2024-08-12 16:00:00,SL,59850,0.001,60.15,-0.31,-0.51,0.15,0.24,-0.3,-0.50,9.2,0.92
42,Entry long,2024-08-12 14:00:00,Long,60150,0.001,60.15,-0.31,-0.51,0.15,0.24,-0.3,-0.50,9.2,0.92
43,Exit long,2024-08-13 16:00:00,TP,60750,0.001,60,0.74,1.24,0.75,1.25,-0.003,0.00,9.95,0.99
43,Entry long,2024-08-13 16:00:00,Long,60000,0.001,60,0.74,1.24,0.75,1.25,-0.003,0.00,9.95,0.99
44,Exit long,2024-08-18 02:00:00,TP,59850,0.001,59.1,0.74,1.26,0.75,1.26,-0.15,-0.26,10.69,1.07
44,Entry long,2024-08-16 17:00:00,Long,59100,0.001,59.1,0.74,1.26,0.75,1.26,-0.15,-0.26,10.69,1.07
45,Exit long,2024-08-20 00:00:00,TP,60300,0.001,59.55,0.74,1.25,0.75,1.25,-0.003,0.00,11.44,1.14
45,Entry long,2024-08-20 00:00:00,Long,59550,0.001,59.55,0.74,1.25,0.75,1.25,-0.003,0.00,11.44,1.14
46,Exit long,2024-08-21 19:00:00,TP,60900,0.001,60.15,0.74,1.24,0.75,1.24,-0.003,0.00,12.18,1.22
46,Entry long,2024-08-21 18:00:00,Long,60150,0.001,60.15,0.74,1.24,0.75,1.24,-0.003,0.00,12.18,1.22
47,Exit long,2024-08-22 12:00:00,SL,61050,0.001,61.35,-0.31,-0.50,0,0.00,-0.3,-0.49,11.88,1.19
47,Entry long,2024-08-22 10:00:00,Long,61350,0.001,61.35,-0.31,-0.50,0,0.00,-0.3,-0.49,11.88,1.19
48,Exit long,2024-08-23 17:00:00,TP,62250,0.001,61.5,0.74,1.21,0.75,1.21,-0.003,0.00,12.62,1.26
48,Entry long,2024-08-23 15:00:00,Long,61500,0.001,61.5,0.74,1.21,0.75,1.21,-0.003,0.00,12.62,1.26
49,Exit long,2024-08-29 18:00:00,SL,59850,0.001,60.15,-0.31,-0.51,0.65,1.08,-0.3,-0.50,12.32,1.23
49,Entry long,2024-08-29 12:00:00,Long,60150,0.001,60.15,-0.31,-0.51,0.65,1.08,-0.3,-0.50,12.32,1.23
50,Exit long,2024-09-03 04:00:00,SL,59100,0.001,59.4,-0.31,-0.51,0,0.00,-0.3,-0.51,12.01,1.20
50,Entry long,2024-09-03 01:00:00,Long,59400,0.001,59.4,-0.31,-0.51,0,0.00,-0.3,-0.51,12.01,1.20
51,Exit long,2024-09-09 05:00:00,SL,54750,0.001,55.05,-0.31,-0.55,0.07,0.14,-0.3,-0.55,11.71,1.17
51,Entry long,2024-09-09 00:00:00,Long,55050,0.001,55.05,-0.31,-0.55,0.07,0.14,-0.3,-0.55,11.71,1.17
52,Exit long,2024-09-11 01:00:00,SL,57300,0.001,57.6,-0.31,-0.53,0.3,0.52,-0.3,-0.53,11.4,1.14
52,Entry long,2024-09-10 18:00:00,Long,57600,0.001,57.6,-0.31,-0.53,0.3,0.52,-0.3,-0.53,11.4,1.14
53,Exit long,2024-09-12 17:00:00,TP,58350,0.001,57.6,0.74,1.29,0.75,1.30,-0.26,-0.46,12.14,1.21
53,Entry long,2024-09-11 17:00:00,Long,57600,0.001,57.6,0.74,1.29,0.75,1.30,-0.26,-0.46,12.14,1.21
54,Exit long,2024-09-17 15:00:00,TP,60450,0.001,59.7,0.74,1.25,0.75,1.25,-0.003,0.00,12.89,1.29
54,Entry long,2024-09-17 14:00:00,Long,59700,0.001,59.7,0.74,1.25,0.75,1.25,-0.003,0.00,12.89,1.29
55,Exit long,2024-09-18 19:00:00,SL,60300,0.001,60.6,-0.31,-0.50,0,0.00,-0.3,-0.50,12.58,1.26
55,Entry long,2024-09-18 18:00:00,Long,60600,0.001,60.6,-0.31,-0.50,0,0.00,-0.3,-0.50,12.58,1.26
56,Exit long,2024-09-19 17:00:00,TP,63600,0.001,62.85,0.74,1.18,0.75,1.19,-0.003,0.00,13.33,1.33
56,Entry long,2024-09-19 12:00:00,Long,62850,0.001,62.85,0.74,1.18,0.75,1.19,-0.003,0.00,13.33,1.33
57,Exit long,2024-09-23 13:00:00,SL,63300,0.001,63.6,-0.31,-0.48,0.6,0.94,-0.3,-0.48,13.02,1.30
57,Entry long,2024-09-22 22:00:00,Long,63600,0.001,63.6,-0.31,-0.48,0.6,0.94,-0.3,-0.48,13.02,1.30
58,Exit long,2024-09-26 15:00:00,TP,64800,0.001,64.05,0.74,1.16,0.75,1.17,-0.003,0.00,13.77,1.38
58,Entry long,2024-09-26 10:00:00,Long,64050,0.001,64.05,0.74,1.16,0.75,1.17,-0.003,0.00,13.77,1.38
59,Exit long,2024-10-03 08:00:00,SL,60450,0.001,60.75,-0.31,-0.50,0,0.00,-0.3,-0.50,13.46,1.35
59,Entry long,2024-10-03 08:00:00,Long,60750,0.001,60.75,-0.31,-0.50,0,0.00,-0.3,-0.50,13.46,1.35
