Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
74,Exit long,2024-02-09 00:00:00,Close entry(s) order Long,1.6596,1000,1657.2,1.36,0.13,2.14,0.20,-0.1,-0.01,66.03,6.60
74,Entry long,2024-02-08 14:00:00,Long,1.6572,1000,1657.2,1.36,0.13,2.14,0.20,-0.1,-0.01,66.03,6.60
75,Exit short,2024-02-12 22:00:00,Close entry(s) order Short,1.6494,1000,1648.8,-0.59,-0.05,0.37,0.03,-0.49,-0.05,65.45,6.54
75,Entry short,2024-02-12 19:00:00,Short,1.6488,1000,1648.8,-0.59,-0.05,0.37,0.03,-0.49,-0.05,65.45,6.54
76,Exit short,2024-02-18 22:00:00,Close entry(s) order Short,1.6494,1000,1648.8,-0.59,-0.05,0,0.00,-0.49,-0.05,64.86,6.49
76,Entry short,2024-02-16 19:00:00,Short,1.6488,1000,1648.8,-0.59,-0.05,0,0.00,-0.49,-0.05,64.86,6.49
77,Exit long,2024-02-27 03:00:00,Close entry(s) order Long,1.6608,1000,1657.2,2.16,0.20,3.04,0.28,-0.1,-0.01,67.02,6.70
77,Entry long,2024-02-26 14:00:00,Long,1.6572,1000,1657.2,2.16,0.20,3.04,0.28,-0.1,-0.01,67.02,6.70
78,Exit long,2024-02-29 01:00:00,Close entry(s) order Long,1.668,1000,1665.6,1.36,0.13,2.26,0.21,-0.1,-0.01,68.38,6.84
78,Entry long,2024-02-28 13:00:00,Long,1.6656,1000,1665.6,1.36,0.13,2.26,0.21,-0.1,-0.01,68.38,6.84
79,Exit short,2024-03-01 21:00:00,Close entry(s) order Short,1.6602,1000,1660.2,-0.19,-0.02,0.68,0.06,-0.1,-0.01,68.19,6.82
79,Entry short,2024-03-01 15:00:00,Short,1.6602,1000,1660.2,-0.19,-0.02,0.68,0.06,-0.1,-0.01,68.19,6.82
80,Exit short,2024-03-06 22:00:00,Close entry(s) order Short,1.6602,1000,1662.6,1.38,0.13,2.24,0.21,-0.1,-0.01,69.57,6.96
80,Entry short,2024-03-06 14:00:00,Short,1.6626,1000,1662.6,1.38,0.13,2.24,0.21,-0.1,-0.01,69.57,6.96
81,Exit short,2024-03-07 14:00:00,Close entry(s) order Short,1.6464,1000,1648.2,0.99,0.09,1.87,0.17,-0.1,-0.01,70.55,7.06
81,Entry short,2024-03-07 13:00:00,Short,1.6482,1000,1648.2,0.99,0.09,1.87,0.17,-0.1,-0.01,70.55,7.06
82,Exit short,2024-03-27 20:00:00,Close entry(s) order Short,1.6578,1000,1657.8,-0.19,-0.02,0.29,0.03,-0.49,-0.05,70.36,7.04
82,Entry short,2024-03-27 14:00:00,Short,1.6578,1000,1657.8,-0.19,-0.02,0.29,0.03,-0.49,-0.05,70.36,7.04
83,Exit short,2024-04-04 00:00:00,Close entry(s) order Short,1.65,1000,1651.8,0.99,0.09,1.47,0.14,-0.1,-0.01,71.35,7.13
83,Entry short,2024-04-03 15:00:00,Short,1.6518,1000,1651.8,0.99,0.09,1.47,0.14,-0.1,-0.01,71.35,7.13
84,Exit short,2024-04-08 14:00:00,Close entry(s) order Short,1.6434,1000,1642.8,-0.59,-0.05,0.3,0.03,-0.49,-0.05,70.76,7.08
84,Entry short,2024-04-08 13:00:00,Short,1.6428,1000,1642.8,-0.59,-0.05,0.3,0.03,-0.49,-0.05,70.76,7.08
85,Exit long,2024-04-11 02:00:00,Close entry(s) order Long,1.65,1000,1647,1.76,0.16,2.69,0.25,-0.1,-0.01,72.52,7.25
85,Entry long,2024-04-10 14:00:00,Long,1.647,1000,1647,1.76,0.16,2.69,0.25,-0.1,-0.01,72.52,7.25
86,Exit long,2024-04-14 21:00:00,Close entry(s) order Long,1.6464,1000,1642.8,2.13,0.20,3.04,0.28,-0.1,-0.01,74.65,7.47
86,Entry long,2024-04-12 13:00:00,Long,1.6428,1000,1642.8,2.13,0.20,3.04,0.28,-0.1,-0.01,74.65,7.47
87,Exit long,2024-04-16 15:00:00,Close entry(s) order Long,1.6596,1000,1658.4,0.58,0.05,1.62,0.15,-0.1,-0.01,75.23,7.52
87,Entry long,2024-04-16 13:00:00,Long,1.6584,1000,1658.4,0.58,0.05,1.62,0.15,-0.1,-0.01,75.23,7.52
88,Exit short,2024-04-24 09:00:00,Close entry(s) order Short,1.6434,1000,1650,4.09,0.38,5.07,0.47,-0.1,-0.01,79.32,7.93
88,Entry short,2024-04-24 00:00:00,Short,1.65,1000,1650,4.09,0.38,5.07,0.47,-0.1,-0.01,79.32,7.93
89,Exit short,2024-04-28 21:00:00,Close entry(s) order Short,1.6374,1000,1637.4,-0.19,-0.02,0.69,0.06,-0.1,-0.01,79.13,7.91
89,Entry short,2024-04-26 13:00:00,Short,1.6374,1000,1637.4,-0.19,-0.02,0.69,0.06,-0.1,-0.01,79.13,7.91
90,Exit long,2024-04-30 14:00:00,Close entry(s) order Long,1.6476,1000,1646.4,0.59,0.05,1.48,0.14,-0.1,-0.01,79.72,7.97
90,Entry long,2024-04-30 13:00:00,Long,1.6464,1000,1646.4,0.59,0.05,1.48,0.14,-0.1,-0.01,79.72,7.97
91,Exit short,2024-05-03 00:00:00,Close entry(s) order Short,1.6332,1000,1636.8,2.17,0.20,2.64,0.25,-0.1,-0.01,81.89,8.19
91,Entry short,2024-05-02 14:00:00,Short,1.6368,1000,1636.8,2.17,0.20,2.64,0.25,-0.1,-0.01,81.89,8.19
92,Exit short,2024-05-15 23:00:00,Close entry(s) order Short,1.626,1000,1629,1.81,0.17,2.29,0.21,-0.1,-0.01,83.71,8.37
92,Entry short,2024-05-15 15:00:00,Short,1.629,1000,1629,1.81,0.17,2.29,0.21,-0.1,-0.01,83.71,8.37
93,Exit short,2024-05-20 06:00:00,Close entry(s) order Short,1.6236,1000,1626,1.41,0.13,2.31,0.21,-0.1,-0.01,85.12,8.51
93,Entry short,2024-05-17 17:00:00,Short,1.626,1000,1626,1.41,0.13,2.31,0.21,-0.1,-0.01,85.12,8.51
94,Exit long,2024-05-23 03:00:00,Close entry(s) order Long,1.635,1000,1630.2,2.98,0.28,3.9,0.36,-0.1,-0.01,88.1,8.81
94,Entry long,2024-05-22 14:00:00,Long,1.6302,1000,1630.2,2.98,0.28,3.9,0.36,-0.1,-0.01,88.1,8.81
95,Exit long,2024-06-03 20:00:00,Close entry(s) order Long,1.6308,1000,1631.4,-0.59,-0.05,0.61,0.06,-0.5,-0.05,87.5,8.75
95,Entry long,2024-06-03 17:00:00,Long,1.6314,1000,1631.4,-0.59,-0.05,0.61,0.06,-0.5,-0.05,87.5,8.75
96,Exit long,2024-06-05 15:00:00,Close entry(s) order Long,1.6374,1000,1637.4,-0.2,-0.02,0.7,0.06,-0.1,-0.01,87.31,8.73
