Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
442,Entry long,2026-03-25 08:25:00,Long,46680,1,23340,35.6,0.15,55.55,0.24,-0.95,0.00,26310.2,263.10
443,Exit long,2026-03-26 06:51:00,Close entry(s) order Long,46710,1,23317.5,35.6,0.15,44.05,0.19,-0.95,0.00,26345.8,263.46
443,Entry long,2026-03-26 06:44:00,Long,46635,1,23317.5,35.6,0.15,44.05,0.19,-0.95,0.00,26345.8,263.46
444,Exit short,2026-03-26 07:56:00,Close entry(s) order Short,46590,1,23310,13.1,0.06,29.05,0.12,-0.95,0.00,26358.9,263.59
444,Entry short,2026-03-26 07:53:00,Short,46620,1,23310,13.1,0.06,29.05,0.12,-0.95,0.00,26358.9,263.59
445,Exit short,2026-03-26 09:44:00,Close entry(s) order Short,46350,1,23167.5,-9.4,-0.04,9.55,0.04,-8.45,-0.04,26349.5,263.50
445,Entry short,2026-03-26 09:35:00,Short,46335,1,23167.5,-9.4,-0.04,9.55,0.04,-8.45,-0.04,26349.5,263.50
446,Exit long,2026-03-26 13:12:00,Close entry(s) order Long,46665,1,23190,140.6,0.61,156.55,0.68,-0.95,0.00,26490.1,264.90
446,Entry long,2026-03-26 13:11:00,Long,46380,1,23190,140.6,0.61,156.55,0.68,-0.95,0.00,26490.1,264.90
447,Exit short,2026-03-26 13:29:00,Close entry(s) order Short,46350,1,23250,73.1,0.31,89.05,0.38,-0.95,0.00,26563.2,265.63
447,Entry short,2026-03-26 13:13:00,Short,46500,1,23250,73.1,0.31,89.05,0.38,-0.95,0.00,26563.2,265.63
448,Exit short,2026-03-27 06:42:00,Close entry(s) order Short,45795,1,22912.5,13.1,0.06,29.05,0.13,-0.95,0.00,26576.3,265.76
448,Entry short,2026-03-27 06:35:00,Short,45825,1,22912.5,13.1,0.06,29.05,0.13,-0.95,0.00,26576.3,265.76
449,Exit short,2026-03-27 07:00:00,Close entry(s) order Short,45735,1,22860,-9.4,-0.04,6.55,0.03,-8.45,-0.04,26566.9,265.67
449,Entry short,2026-03-27 06:58:00,Short,45720,1,22860,-9.4,-0.04,6.55,0.03,-8.45,-0.04,26566.9,265.67
450,Exit short,2026-03-27 09:20:00,Close entry(s) order Short,45735,1,22860,-9.4,-0.04,6.55,0.03,-8.45,-0.04,26557.5,265.58
450,Entry short,2026-03-27 09:11:00,Short,45720,1,22860,-9.4,-0.04,6.55,0.03,-8.45,-0.04,26557.5,265.58
451,Exit short,2026-03-27 11:19:00,Close entry(s) order Short,45495,1,22800,50.6,0.22,66.55,0.29,-0.95,0.00,26608.1,266.08
451,Entry short,2026-03-27 10:49:00,Short,45600,1,22800,50.6,0.22,66.55,0.29,-0.95,0.00,26608.1,266.08
452,Exit short,2026-03-29 15:14:00,Close entry(s) order Short,45120,1,22567.5,5.6,0.02,27.05,0.12,-0.95,0.00,26613.7,266.14
452,Entry short,2026-03-29 15:03:00,Short,45135,1,22567.5,5.6,0.02,27.05,0.12,-0.95,0.00,26613.7,266.14
453,Exit short,2026-03-30 12:36:00,Close entry(s) order Short,45345,1,22687.5,13.1,0.06,29.05,0.13,-0.95,0.00,26626.8,266.27
453,Entry short,2026-03-30 12:10:00,Short,45375,1,22687.5,13.1,0.06,29.05,0.13,-0.95,0.00,26626.8,266.27
454,Exit long,2026-03-30 17:48:00,Close entry(s) order Long,45735,1,22807.5,58.1,0.25,74.05,0.32,-0.95,0.00,26684.9,266.85
454,Entry long,2026-03-30 17:45:00,Long,45615,1,22807.5,58.1,0.25,74.05,0.32,-0.95,0.00,26684.9,266.85
455,Exit long,2026-03-30 18:46:00,Close entry(s) order Long,45900,1,22905,43.1,0.19,59.55,0.26,-0.95,0.00,26728,267.28
455,Entry long,2026-03-30 18:26:00,Long,45810,1,22905,43.1,0.19,59.55,0.26,-0.95,0.00,26728,267.28
456,Exit long,2026-03-31 01:04:00,Close entry(s) order Long,45945,1,22972.5,-1.9,-0.01,12.05,0.05,-8.45,-0.04,26726.1,267.26
456,Entry long,2026-03-31 01:01:00,Long,45945,1,22972.5,-1.9,-0.01,12.05,0.05,-8.45,-0.04,26726.1,267.26
457,Exit long,2026-03-31 06:56:00,Close entry(s) order Long,46065,1,23040,-9.4,-0.04,6.55,0.03,-8.45,-0.04,26716.7,267.17
457,Entry long,2026-03-31 06:54:00,Long,46080,1,23040,-9.4,-0.04,6.55,0.03,-8.45,-0.04,26716.7,267.17
458,Exit short,2026-03-31 08:00:00,Close entry(s) order Short,45765,1,22920,35.6,0.16,51.55,0.22,-0.95,0.00,26752.3,267.52
458,Entry short,2026-03-31 07:47:00,Short,45840,1,22920,35.6,0.16,51.55,0.22,-0.95,0.00,26752.3,267.52
459,Exit long,2026-03-31 08:21:00,Close entry(s) order Long,46020,1,22965,43.1,0.19,65.05,0.28,-0.95,0.00,26795.4,267.95
459,Entry long,2026-03-31 08:06:00,Long,45930,1,22965,43.1,0.19,65.05,0.28,-0.95,0.00,26795.4,267.95
460,Exit long,2026-03-31 09:43:00,Close entry(s) order Long,46500,1,23092.5,155.6,0.67,171.55,0.74,-0.95,0.00,26951,269.51
460,Entry long,2026-03-31 09:39:00,Long,46185,1,23092.5,155.6,0.67,171.55,0.74,-0.95,0.00,26951,269.51
461,Exit short,2026-03-31 09:49:00,Close entry(s) order Short,46245,1,23167.5,43.1,0.19,59.05,0.25,-0.95,0.00,26994.1,269.94
461,Entry short,2026-03-31 09:46:00,Short,46335,1,23167.5,43.1,0.19,59.05,0.25,-0.95,0.00,26994.1,269.94
462,Exit long,2026-04-01 00:16:00,Close entry(s) order Long,46875,1,23437.5,-1.9,-0.01,14.55,0.06,-6.95,-0.03,26992.2,269.92
462,Entry long,2026-03-31 23:42:00,Long,46875,1,23437.5,-1.9,-0.01,14.55,0.06,-6.95,-0.03,26992.2,269.92
463,Exit short,2026-04-01 06:11:00,Close entry(s) order Short,46740,1,23370,-1.9,-0.01,14.05,0.06,-0.95,0.00,26990.3,269.90
463,Entry short,2026-04-01 06:05:00,Short,46740,1,23370,-1.9,-0.01,14.05,0.06,-0.95,0.00,26990.3,269.90
464,Exit long,2026-04-01 06:32:00,Close entry(s) order Long,46950,1,23452.5,20.6,0.09,29.05,0.12,-0.95,0.00,27010.9,270.11
464,Entry long,2026-04-01 06:30:00,Long,46905,1,23452.5,20.6,0.09,29.05,0.12,-0.95,0.00,27010.9,270.11
465,Exit short,2026-04-01 18:21:00,Close entry(s) order Short,46560,1,23325,43.1,0.18,55.55,0.24,-0.95,0.00,27054,270.54
465,Entry short,2026-04-01 18:17:00,Short,46650,1,23325,43.1,0.18,55.55,0.24,-0.95,0.00,27054,270.54
466,Exit long,2026-04-02 07:04:00,Close entry(s) order Long,46320,1,23160,-1.9,-0.01,18.55,0.08,-0.95,0.00,27052.1,270.52
466,Entry long,2026-04-02 06:58:00,Long,46320,1,23160,-1.9,-0.01,18.55,0.08,-0.95,0.00,27052.1,270.52
467,Exit long,2026-04-02 07:38:00,Close entry(s) order Long,46890,1,23257.5,185.6,0.80,201.55,0.87,-0.95,0.00,27237.7,272.38
467,Entry long,2026-04-02 07:33:00,Long,46515,1,23257.5,185.6,0.80,201.55,0.87,-0.95,0.00,27237.7,272.38
468,Exit short,2026-04-05 15:01:00,Close entry(s) order Short,46455,1,23220,-9.4,-0.04,6.55,0.03,-8.45,-0.04,27228.3,272.28
468,Entry short,2026-04-05 15:00:00,Short,46440,1,23220,-9.4,-0.04,6.55,0.03,-8.45,-0.04,27228.3,272.28
469,Exit short,2026-04-05 20:25:00,Close entry(s) order Short,46545,1,23272.5,-1.9,-0.01,14.05,0.06,-0.95,0.00,27226.4,272.26
469,Entry short,2026-04-05 20:19:00,Short,46545,1,23272.5,-1.9,-0.01,14.05,0.06,-0.95,0.00,27226.4,272.26
470,Exit long,2026-04-06 15:00:02,Close entry(s) order Long,47010,1,23512.5,-9.4,-0.04,7.55,0.03,-8.45,-0.04,27217,272.17
470,Entry long,2026-04-06 13:26:00,Long,47025,1,23512.5,-9.4,-0.04,7.55,0.03,-8.45,-0.04,27217,272.17
471,Exit long,2026-04-07 07:22:14,Close entry(s) order Long,46650,1,23325,-1.9,-0.01,15.55,0.07,-0.95,0.00,27215.1,272.15
471,Entry long,2026-04-07 07:21:39,Long,46650,1,23325,-1.9,-0.01,15.55,0.07,-0.95,0.00,27215.1,272.15
472,Exit short,2026-04-07 08:10:45,Close entry(s) order Short,46470,1,23235,-1.9,-0.01,20.55,0.09,-0.95,0.00,27213.2,272.13
472,Entry short,2026-04-07 08:05:57,Short,46470,1,23235,-1.9,-0.01,20.55,0.09,-0.95,0.00,27213.2,272.13
473,Exit long,2026-04-07 09:03:18,Close entry(s) order Long,46725,1,23347.5,13.1,0.06,34.05,0.15,-0.95,0.00,27226.3,272.26
473,Entry long,2026-04-07 09:03:03,Long,46695,1,23347.5,13.1,0.06,34.05,0.15,-0.95,0.00,27226.3,272.26
474,Exit long,2026-04-07 15:00:41,Close entry(s) order Long,47265,1,23527.5,103.1,0.44,126.05,0.54,-0.95,0.00,27329.4,273.29
474,Entry long,2026-04-07 15:00:01,Long,47055,1,23527.5,103.1,0.44,126.05,0.54,-0.95,0.00,27329.4,273.29
