Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
35,Exit short,2026-01-20 08:00:00,Close entry(s) order Short,1.7328,1000,1734,0.6,0.05,1.6,0.14,-0.73,-0.06,62.45,6.25
35,Entry short,2026-01-20 03:00:00,Short,1.734,1000,1734,0.6,0.05,1.6,0.14,-0.73,-0.06,62.45,6.25
36,Exit short,2026-01-21 16:00:00,Close entry(s) order Short,1.7298,1000,1731.6,1,0.09,1.92,0.16,-0.1,-0.01,63.45,6.35
36,Entry short,2026-01-21 15:00:00,Short,1.7316,1000,1731.6,1,0.09,1.92,0.16,-0.1,-0.01,63.45,6.35
37,Exit short,2026-01-26 15:00:00,Close entry(s) order Short,1.7136,1000,1713,-0.63,-0.05,0,0.00,-0.52,-0.04,62.83,6.28
37,Entry short,2026-01-26 15:00:00,Short,1.713,1000,1713,-0.63,-0.05,0,0.00,-0.52,-0.04,62.83,6.28
38,Exit short,2026-01-28 23:00:00,Close entry(s) order Short,1.6992,1000,1707,5.28,0.44,6.2,0.52,-0.7,-0.06,68.1,6.81
38,Entry short,2026-01-28 17:00:00,Short,1.707,1000,1707,5.28,0.44,6.2,0.52,-0.7,-0.06,68.1,6.81
39,Exit short,2026-01-29 14:00:00,Close entry(s) order Short,1.6938,1000,1693.8,-0.21,-0.02,0.74,0.06,-0.11,-0.01,67.89,6.79
39,Entry short,2026-01-29 13:00:00,Short,1.6938,1000,1693.8,-0.21,-0.02,0.74,0.06,-0.11,-0.01,67.89,6.79
40,Exit short,2026-01-30 01:00:00,Close entry(s) order Short,1.6992,1000,1705.8,4.44,0.37,5.39,0.45,-0.11,-0.01,72.33,7.23
40,Entry short,2026-01-29 16:00:00,Short,1.7058,1000,1705.8,4.44,0.37,5.39,0.45,-0.11,-0.01,72.33,7.23
41,Exit short,2026-01-30 17:00:00,Close entry(s) order Short,1.6992,1000,1699.8,0.21,0.02,1.16,0.10,-0.11,-0.01,72.53,7.25
41,Entry short,2026-01-30 14:00:00,Short,1.6998,1000,1699.8,0.21,0.02,1.16,0.10,-0.11,-0.01,72.53,7.25
42,Exit short,2026-02-03 02:00:00,Close entry(s) order Short,1.6944,1000,1701.6,4.79,0.41,5.73,0.48,-0.11,-0.01,77.32,7.73
42,Entry short,2026-02-02 14:00:00,Short,1.7016,1000,1701.6,4.79,0.41,5.73,0.48,-0.11,-0.01,77.32,7.73
43,Exit short,2026-02-03 23:00:00,Close entry(s) order Short,1.6836,1000,1683.6,-0.21,-0.02,0,0.00,-0.53,-0.04,77.11,7.71
43,Entry short,2026-02-03 22:00:00,Short,1.6836,1000,1683.6,-0.21,-0.02,0,0.00,-0.53,-0.04,77.11,7.71
44,Exit long,2026-02-05 15:00:00,Close entry(s) order Long,1.6938,1000,1693.2,0.21,0.02,0.73,0.06,-0.11,-0.01,77.32,7.73
44,Entry long,2026-02-05 13:00:00,Long,1.6932,1000,1693.2,0.21,0.02,0.73,0.06,-0.11,-0.01,77.32,7.73
45,Exit short,2026-02-08 23:00:00,Close entry(s) order Short,1.6842,1000,1687.2,1.89,0.16,2.39,0.20,-0.11,-0.01,79.21,7.92
45,Entry short,2026-02-06 14:00:00,Short,1.6872,1000,1687.2,1.89,0.16,2.39,0.20,-0.11,-0.01,79.21,7.92
46,Exit short,2026-02-10 02:00:00,Close entry(s) order Short,1.6806,1000,1684.2,2.34,0.20,3.26,0.28,-0.11,-0.01,81.55,8.16
46,Entry short,2026-02-09 14:00:00,Short,1.6842,1000,1684.2,2.34,0.20,3.26,0.28,-0.11,-0.01,81.55,8.16
47,Exit short,2026-02-11 15:00:00,Close entry(s) order Short,1.6656,1000,1672.8,4.88,0.41,5.84,0.49,-0.11,-0.01,86.43,8.64
47,Entry short,2026-02-11 13:00:00,Short,1.6728,1000,1672.8,4.88,0.41,5.84,0.49,-0.11,-0.01,86.43,8.64
48,Exit short,2026-02-12 14:00:00,Close entry(s) order Short,1.6656,1000,1665,-0.64,-0.05,0.32,0.03,-0.53,-0.05,85.79,8.58
48,Entry short,2026-02-12 13:00:00,Short,1.665,1000,1665,-0.64,-0.05,0.32,0.03,-0.53,-0.05,85.79,8.58
49,Exit short,2026-02-13 17:00:00,Close entry(s) order Short,1.6788,1000,1678.8,-0.21,-0.02,0,0.00,-0.53,-0.04,85.58,8.56
49,Entry short,2026-02-13 16:00:00,Short,1.6788,1000,1678.8,-0.21,-0.02,0,0.00,-0.53,-0.04,85.58,8.56
50,Exit long,2026-02-17 15:00:00,Close entry(s) order Long,1.6782,1000,1678.8,-0.64,-0.05,0.32,0.03,-0.53,-0.04,84.94,8.49
50,Entry long,2026-02-17 14:00:00,Long,1.6788,1000,1678.8,-0.64,-0.05,0.32,0.03,-0.53,-0.04,84.94,8.49
51,Exit short,2026-02-19 16:00:00,Close entry(s) order Short,1.668,1000,1667.4,-0.63,-0.05,0,0.00,-0.53,-0.04,84.3,8.43
51,Entry short,2026-02-19 16:00:00,Short,1.6674,1000,1667.4,-0.63,-0.05,0,0.00,-0.53,-0.04,84.3,8.43
52,Exit short,2026-02-22 22:04:00,Close entry(s) order Short,1.6644,1000,1666.8,1.49,0.13,2.49,0.21,-0.11,-0.01,85.79,8.58
52,Entry short,2026-02-20 15:00:00,Short,1.6668,1000,1666.8,1.49,0.13,2.49,0.21,-0.11,-0.01,85.79,8.58
53,Exit long,2026-02-23 16:57:00,Close entry(s) order Long,1.671,1000,1669.8,0.64,0.05,1.42,0.12,-0.11,-0.01,86.43,8.64
53,Entry long,2026-02-23 15:55:00,Long,1.6698,1000,1669.8,0.64,0.05,1.42,0.12,-0.11,-0.01,86.43,8.64
54,Exit long,2026-02-24 14:41:00,Close entry(s) order Long,1.6734,1000,1673.4,-0.21,-0.02,0.91,0.08,-0.11,-0.01,86.22,8.62
54,Entry long,2026-02-24 14:03:00,Long,1.6734,1000,1673.4,-0.21,-0.02,0.91,0.08,-0.11,-0.01,86.22,8.62
55,Exit short,2026-02-25 15:07:00,Close entry(s) order Short,1.6614,1000,1660.8,-0.63,-0.05,0.4,0.03,-0.53,-0.05,85.58,8.56
55,Entry short,2026-02-25 13:56:00,Short,1.6608,1000,1660.8,-0.63,-0.05,0.4,0.03,-0.53,-0.05,85.58,8.56
56,Exit long,2026-02-26 15:28:00,Close entry(s) order Long,1.6662,1000,1666.2,-0.21,-0.02,0.32,0.03,-0.53,-0.05,85.37,8.54
56,Entry long,2026-02-26 15:21:00,Long,1.6662,1000,1666.2,-0.21,-0.02,0.32,0.03,-0.53,-0.05,85.37,8.54
57,Exit long,2026-02-27 13:56:00,Close entry(s) order Long,1.6626,1000,1663.2,-0.64,-0.05,0.32,0.03,-0.53,-0.05,84.73,8.47
57,Entry long,2026-02-27 13:41:00,Long,1.6632,1000,1663.2,-0.64,-0.05,0.32,0.03,-0.53,-0.05,84.73,8.47
58,Exit long,2026-03-01 22:16:00,Close entry(s) order Long,1.6692,1000,1663.8,3.63,0.31,4.59,0.39,-0.11,-0.01,88.36,8.84
58,Entry long,2026-03-01 22:04:00,Long,1.6638,1000,1663.8,3.63,0.31,4.59,0.39,-0.11,-0.01,88.36,8.84
59,Exit short,2026-03-02 15:03:00,Close entry(s) order Short,1.6554,1000,1655.4,-0.21,-0.02,0,0.00,-0.53,-0.05,88.15,8.81
59,Entry short,2026-03-02 15:00:00,Short,1.6554,1000,1655.4,-0.21,-0.02,0,0.00,-0.53,-0.05,88.15,8.81
60,Exit short,2026-03-02 22:50:00,Close entry(s) order Short,1.6464,1000,1647,0.22,0.02,0.75,0.06,-0.11,-0.01,88.36,8.84
60,Entry short,2026-03-02 22:31:00,Short,1.647,1000,1647,0.22,0.02,0.75,0.06,-0.11,-0.01,88.36,8.84
61,Exit long,2026-03-03 13:58:00,Close entry(s) order Long,1.6548,1000,1655.4,-0.64,-0.05,0.57,0.05,-0.53,-0.05,87.72,8.77
61,Entry long,2026-03-03 13:47:00,Long,1.6554,1000,1655.4,-0.64,-0.05,0.57,0.05,-0.53,-0.05,87.72,8.77
62,Exit short,2026-03-03 16:23:00,Close entry(s) order Short,1.6524,1000,1653,0.21,0.02,0.76,0.06,-0.11,-0.01,87.94,8.79
62,Entry short,2026-03-03 16:09:00,Short,1.653,1000,1653,0.21,0.02,0.76,0.06,-0.11,-0.01,87.94,8.79
63,Exit short,2026-03-04 15:50:00,Close entry(s) order Short,1.6476,1000,1647.6,-0.21,-0.02,0.64,0.06,-0.53,-0.05,87.73,8.77
63,Entry short,2026-03-04 15:26:00,Short,1.6476,1000,1647.6,-0.21,-0.02,0.64,0.06,-0.53,-0.05,87.73,8.77
64,Exit long,2026-03-05 13:53:00,Close entry(s) order Long,1.65,1000,1650,-0.21,-0.02,0.74,0.06,-0.11,-0.01,87.52,8.75
64,Entry long,2026-03-05 13:39:00,Long,1.65,1000,1650,-0.21,-0.02,0.74,0.06,-0.11,-0.01,87.52,8.75
65,Exit long,2026-03-05 18:25:00,Close entry(s) order Long,1.6584,1000,1656.6,1.06,0.09,1.81,0.15,-0.11,-0.01,88.58,8.86
65,Entry long,2026-03-05 17:31:00,Long,1.6566,1000,1656.6,1.06,0.09,1.81,0.15,-0.11,-0.01,88.58,8.86
66,Exit short,2026-03-06 13:30:00,Close entry(s) order Short,1.6512,1000,1650.6,-0.63,-0.05,0.39,0.03,-0.52,-0.05,87.95,8.80
66,Entry short,2026-03-06 13:24:00,Short,1.6506,1000,1650.6,-0.63,-0.05,0.39,0.03,-0.52,-0.05,87.95,8.80
67,Exit short,2026-03-09 14:55:00,Close entry(s) order Short,1.644,1000,1645.2,0.64,0.05,1.58,0.14,-0.1,-0.01,88.59,8.86
67,Entry short,2026-03-09 14:18:00,Short,1.6452,1000,1645.2,0.64,0.05,1.58,0.14,-0.1,-0.01,88.59,8.86
68,Exit short,2026-03-10 16:26:00,Close entry(s) order Short,1.6302,1000,1632,1.07,0.09,2.27,0.20,-0.1,-0.01,89.66,8.97
68,Entry short,2026-03-10 14:45:00,Short,1.632,1000,1632,1.07,0.09,2.27,0.20,-0.1,-0.01,89.66,8.97
69,Exit short,2026-03-11 14:27:00,Close entry(s) order Short,1.6164,1000,1617,0.22,0.02,1.44,0.13,-0.28,-0.02,89.88,8.99
69,Entry short,2026-03-11 14:05:00,Short,1.617,1000,1617,0.22,0.02,1.44,0.13,-0.28,-0.02,89.88,8.99
70,Exit long,2026-03-12 14:46:00,Close entry(s) order Long,1.6242,1000,1621.2,1.94,0.17,2.9,0.25,-0.1,-0.01,91.81,9.18
70,Entry long,2026-03-12 13:36:00,Long,1.6212,1000,1621.2,1.94,0.17,2.9,0.25,-0.1,-0.01,91.81,9.18
71,Exit long,2026-03-13 13:53:00,Close entry(s) order Long,1.629,1000,1629.6,-0.63,-0.05,0.55,0.05,-0.53,-0.05,91.18,9.12
71,Entry long,2026-03-13 13:51:00,Long,1.6296,1000,1629.6,-0.63,-0.05,0.55,0.05,-0.53,-0.05,91.18,9.12
72,Exit long,2026-03-16 18:54:00,Close entry(s) order Long,1.6284,1000,1629,-0.62,-0.05,0,0.00,-0.52,-0.05,90.56,9.06
72,Entry long,2026-03-16 18:16:00,Long,1.629,1000,1629,-0.62,-0.05,0,0.00,-0.52,-0.05,90.56,9.06
73,Exit short,2026-03-17 14:38:50,Close entry(s) order Short,1.6224,1000,1621.8,-0.63,-0.05,0.51,0.04,-0.53,-0.05,89.93,8.99
73,Entry short,2026-03-17 13:20:25,Short,1.6218,1000,1621.8,-0.63,-0.05,0.51,0.04,-0.53,-0.05,89.93,8.99
