Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
25,Exit long,2025-06-25 17:00:00,[ExitL rA:58 hA:43 MK:1 R:66 V:0.48 B:0.69 M:- ST:U CH:24 CF:+ MI:54 SK:69 PS:D SQ:0],198.35,1000,198400,-0.48,-0.04,0.53,0.04,-0.41,-0.03,70.05,7.00
25,Entry long,2025-06-25 17:00:00,[R002L rA:38 hA:49 MK:1 R:74 V:0.85 B:0.82 M:+ ST:U CH:17 CF:+ MI:56 SK:90 PS:U SQ:0],198.4,1000,198400,-0.48,-0.04,0.53,0.04,-0.41,-0.03,70.05,7.00
26,Exit short,2025-07-09 19:00:00,[ExitS rA:54 hA:52 MK:-1 R:25 V:0.57 B:0.2 M:- ST:D CH:9 CF:- MI:3 SK:15 PS:D SQ:0],198.6,1000,199050,2.94,0.22,3.69,0.27,-0.07,0.00,72.99,7.30
26,Entry short,2025-07-09 06:00:00,[R001S rA:35 hA:41 MK:-1 R:31 V:1.19 B:0.02 M:- ST:D CH:7 CF:- MI:4 SK:0 PS:D SQ:0],199.05,1000,199050,2.94,0.22,3.69,0.27,-0.07,0.00,72.99,7.30
27,Exit short,2025-08-01 13:00:00,[ExitS rA:48 hA:38 MK:-1 R:14 V:1.01 B:0.2 M:+ ST:D CH:5 CF:- MI:9 SK:15 PS:D SQ:0],195.65,1000,195800,0.87,0.07,1.59,0.12,-0.06,0.00,73.85,7.39
27,Entry short,2025-08-01 10:00:00,[R001S rA:28 hA:43 MK:-1 R:1 V:1 B:0.09 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],195.8,1000,195800,0.87,0.07,1.59,0.12,-0.06,0.00,73.85,7.39
28,Exit short,2025-08-03 16:00:00,[ExitS rA:94 hA:43 MK:-1 R:26 V:0.89 B:0.29 M:+ ST:D CH:23 CF:- MI:24 SK:27 PS:D SQ:0],195.65,1000,195600,-0.47,-0.04,0.48,0.04,-0.4,-0.03,73.38,7.34
28,Entry short,2025-08-03 14:00:00,[R002S rA:59 hA:51 MK:-1 R:17 V:0.11 B:0.2 M:+ ST:D CH:14 CF:- MI:18 SK:9 PS:D SQ:0],195.6,1000,195600,-0.47,-0.04,0.48,0.04,-0.4,-0.03,73.38,7.34
29,Exit short,2025-08-04 13:00:00,[ExitS rA:88 hA:43 MK:-1 R:23 V:1.33 B:0.2 M:- ST:D CH:5 CF:- MI:8 SK:15 PS:D SQ:0],195.2,1000,195650,2.92,0.22,3.66,0.28,-0.07,0.00,76.3,7.63
29,Entry short,2025-08-04 08:00:00,[R001S rA:92 hA:41 MK:-1 R:25 V:1.47 B:0.05 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],195.65,1000,195650,2.92,0.22,3.66,0.28,-0.07,0.00,76.3,7.63
30,Exit short,2025-08-04 17:00:00,[ExitS rA:55 hA:45 MK:-1 R:42 V:1.56 B:0.51 M:+ ST:U CH:39 CF:- MI:39 SK:81 PS:U SQ:0],195.35,1000,195300,-0.47,-0.04,0.27,0.02,-0.41,-0.03,75.83,7.58
30,Entry short,2025-08-04 16:00:00,[R002S rA:91 hA:43 MK:-1 R:36 V:1.24 B:0.38 M:+ ST:U CH:27 CF:- MI:29 SK:50 PS:U SQ:0],195.3,1000,195300,-0.47,-0.04,0.27,0.02,-0.41,-0.03,75.83,7.58
31,Exit long,2025-08-11 00:00:00,[ExitL rA:57 hA:44 MK:1 R:61 V:0.17 B:0.62 M:- ST:U CH:42 CF:+ MI:76 SK:67 PS:U SQ:0],198.65,1000,198550,0.54,0.04,1.29,0.10,-0.43,-0.03,76.37,7.64
31,Entry long,2025-08-10 21:00:00,[R002L rA:58 hA:44 MK:1 R:60 V:0.39 B:0.52 M:- ST:D CH:43 CF:+ MI:61 SK:33 PS:D SQ:0],198.55,1000,198550,0.54,0.04,1.29,0.10,-0.43,-0.03,76.37,7.64
32,Exit long,2025-08-11 20:00:00,[ExitL rA:44 hA:43 MK:0 R:72 V:1.97 B:0.8 M:+ ST:U CH:8 CF:+ MI:82 SK:85 PS:U SQ:0],199.25,1000,199000,1.55,0.12,1.96,0.15,-0.46,-0.03,77.92,7.79
32,Entry long,2025-08-11 15:00:00,[R001L rA:52 hA:43 MK:1 R:74 V:0.3 B:0.99 M:+ ST:U CH:14 CF:+ MI:63 SK:100 PS:U SQ:0],199,1000,199000,1.55,0.12,1.96,0.15,-0.46,-0.03,77.92,7.79
33,Exit long,2025-08-12 08:00:00,[ExitL rA:41 hA:44 MK:1 R:63 V:1.48 B:0.66 M:- ST:U CH:46 CF:- MI:35 SK:60 PS:U SQ:0],199.8,1000,199750,0.2,0.02,0.94,0.07,-0.07,0.00,78.13,7.81
33,Entry long,2025-08-12 06:00:00,[R002L rA:49 hA:42 MK:0 R:66 V:1.06 B:0.69 M:- ST:D CH:22 CF:- MI:29 SK:67 PS:D SQ:0],199.75,1000,199750,0.2,0.02,0.94,0.07,-0.07,0.00,78.13,7.81
34,Exit long,2025-10-06 14:00:00,[ExitL rA:49 hA:48 MK:1 R:78 V:0.27 B:0.8 M:+ ST:U CH:5 CF:+ MI:98 SK:85 PS:U SQ:0],202.65,1000,202000,4.27,0.31,5.02,0.37,-0.07,0.00,82.39,8.24
34,Entry long,2025-10-06 07:00:00,[R001L rA:27 hA:43 MK:1 R:71 V:1.04 B:0.98 M:+ ST:U CH:3 CF:+ MI:93 SK:100 PS:U SQ:0],202,1000,202000,4.27,0.31,5.02,0.37,-0.07,0.00,82.39,8.24
35,Exit long,2025-10-07 15:00:00,[ExitL rA:58 hA:51 MK:1 R:82 V:0.55 B:0.8 M:+ ST:U CH:5 CF:+ MI:96 SK:85 PS:U SQ:0],203.9,1000,202950,6.12,0.46,6.92,0.51,-0.07,0.00,88.51,8.85
35,Entry long,2025-10-07 07:00:00,[R001L rA:30 hA:50 MK:1 R:74 V:0.45 B:0.98 M:+ ST:U CH:3 CF:+ MI:94 SK:100 PS:U SQ:0],202.95,1000,202950,6.12,0.46,6.92,0.51,-0.07,0.00,88.51,8.85
36,Exit long,2025-10-07 20:00:00,[ExitL rA:69 hA:55 MK:1 R:78 V:2.38 B:0.82 M:- ST:U CH:16 CF:+ MI:77 SK:82 PS:U SQ:0],204.3,1000,203950,2.17,0.16,2.89,0.22,-0.07,0.00,90.68,9.07
36,Entry long,2025-10-07 16:00:00,[R002L rA:51 hA:48 MK:1 R:79 V:0.98 B:0.8 M:- ST:U CH:14 CF:+ MI:91 SK:91 PS:U SQ:0],203.95,1000,203950,2.17,0.16,2.89,0.22,-0.07,0.00,90.68,9.07
37,Exit short,2025-10-09 13:00:00,[ExitS rA:46 hA:45 MK:-1 R:25 V:2.38 B:0.2 M:- ST:D CH:5 CF:- MI:22 SK:16 PS:D SQ:0],203.55,1000,204050,3.14,0.24,3.88,0.29,-0.07,0.00,93.82,9.38
37,Entry short,2025-10-09 08:00:00,[R001S rA:35 hA:44 MK:-1 R:31 V:1.02 B:0.05 M:- ST:D CH:31 CF:- MI:22 SK:0 PS:D SQ:0],204.05,1000,204050,3.14,0.24,3.88,0.29,-0.07,0.00,93.82,9.38
38,Exit short,2025-10-09 23:00:00,[ExitS rA:50 hA:52 MK:-1 R:30 V:2.09 B:0.2 M:- ST:D CH:27 CF:- MI:47 SK:23 PS:D SQ:0],203.3,1000,203550,1.5,0.11,1.89,0.14,-0.07,0.00,95.32,9.53
38,Entry short,2025-10-09 20:00:00,[R002S rA:49 hA:45 MK:-1 R:30 V:0.68 B:0.25 M:+ ST:U CH:20 CF:- MI:53 SK:20 PS:U SQ:0],203.55,1000,203550,1.5,0.11,1.89,0.14,-0.07,0.00,95.32,9.53
39,Exit short,2025-10-29 07:00:00,[ExitS rA:53 hA:43 MK:-1 R:25 V:0.46 B:0.2 M:- ST:D CH:8 CF:- MI:3 SK:15 PS:D SQ:0],200.85,1000,200950,0.53,0.04,1.25,0.09,-0.07,0.00,95.85,9.58
39,Entry short,2025-10-29 06:00:00,[R001S rA:27 hA:61 MK:-1 R:19 V:0.35 B:0.02 M:- ST:D CH:5 CF:- MI:11 SK:0 PS:D SQ:0],200.95,1000,200950,0.53,0.04,1.25,0.09,-0.07,0.00,95.85,9.58
40,Exit long,2025-11-05 09:00:00,[ExitL rA:73 hA:58 MK:1 R:77 V:3.28 B:0.8 M:+ ST:U CH:5 CF:+ MI:75 SK:85 PS:U SQ:0],201.1,1000,200650,2.8,0.21,3.51,0.27,-0.07,0.00,98.64,9.86
40,Entry long,2025-11-05 07:00:00,[R001L rA:28 hA:50 MK:1 R:75 V:0.35 B:1.01 M:+ ST:U CH:18 CF:+ MI:85 SK:100 PS:U SQ:0],200.65,1000,200650,2.8,0.21,3.51,0.27,-0.07,0.00,98.64,9.86
41,Exit long,2025-11-20 07:00:00,[ExitL rA:57 hA:34 MK:1 R:78 V:2.3 B:0.8 M:+ ST:U CH:5 CF:+ MI:82 SK:85 PS:U SQ:0],206.55,1000,206450,0.5,0.04,1.21,0.09,-0.07,0.00,99.15,9.91
41,Entry long,2025-11-20 06:00:00,[R001L rA:37 hA:38 MK:1 R:86 V:1.19 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],206.45,1000,206450,0.5,0.04,1.21,0.09,-0.07,0.00,99.15,9.91
42,Exit long,2025-12-21 14:00:00,[ExitL rA:56 hA:40 MK:1 R:78 V:0.25 B:0.83 M:- ST:U CH:8 CF:+ MI:94 SK:85 PS:U SQ:0],210.85,1000,210500,2.08,0.16,2.82,0.21,-0.07,0.00,101.23,10.12
42,Entry long,2025-12-19 08:00:00,[R001L rA:47 hA:40 MK:1 R:80 V:1.42 B:0.82 M:- ST:U CH:26 CF:+ MI:77 SK:100 PS:U SQ:0],210.5,1000,210500,2.08,0.16,2.82,0.21,-0.07,0.00,101.23,10.12
43,Exit long,2025-12-21 17:00:00,[ExitL rA:76 hA:44 MK:1 R:65 V:1.18 B:0.66 M:- ST:U CH:46 CF:+ MI:83 SK:60 PS:U SQ:0],210.85,1000,210800,0.18,0.01,0.88,0.07,-0.07,0.00,101.41,10.14
43,Entry long,2025-12-21 15:00:00,[R002L rA:69 hA:55 MK:1 R:68 V:1.25 B:0.69 M:- ST:D CH:22 CF:+ MI:92 SK:67 PS:D SQ:0],210.8,1000,210800,0.18,0.01,0.88,0.07,-0.07,0.00,101.41,10.14
44,Exit short,2026-01-14 10:00:00,[ExitS rA:56 hA:41 MK:-1 R:21 V:1.57 B:0.2 M:- ST:D CH:5 CF:- MI:13 SK:15 PS:D SQ:0],212.7,1000,213200,3.01,0.22,3.7,0.28,-0.07,0.00,104.42,10.44
44,Entry short,2026-01-14 06:00:00,[R001S rA:49 hA:41 MK:-1 R:22 V:0.6 B:0.07 M:- ST:D CH:0 CF:- MI:0 SK:0 PS:D SQ:0],213.2,1000,213200,3.01,0.22,3.7,0.28,-0.07,0.00,104.42,10.44
45,Exit long,2026-01-26 11:00:00,[ExitL rA:62 hA:44 MK:1 R:69 V:0.64 B:0.8 M:+ ST:U CH:5 CF:+ MI:96 SK:85 PS:U SQ:0],210.9,1000,210650,1.47,0.11,2.18,0.16,-0.07,0.00,105.89,10.59
45,Entry long,2026-01-26 07:00:00,[R001L rA:76 hA:40 MK:1 R:66 V:1.04 B:0.98 M:+ ST:U CH:3 CF:+ MI:93 SK:100 PS:U SQ:0],210.65,1000,210650,1.47,0.11,2.18,0.16,-0.07,0.00,105.89,10.59
