Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
338,Entry short,2025-04-09 07:00:00,Short,1.8438,1000,1843.8,2.04,0.19,2.09,0.19,-0.05,0.00,212.19,21.22
339,Exit short,2025-04-09 11:00:00,SL,1.8318,1000,1828.2,-2.24,-0.21,0,0.00,-2.19,-0.20,209.94,20.99
339,Entry short,2025-04-09 10:00:00,Short,1.8282,1000,1828.2,-2.24,-0.21,0,0.00,-2.19,-0.20,209.94,20.99
340,Exit long,2025-04-09 13:00:00,SL,1.8318,1000,1835.4,-2.24,-0.21,1.74,0.16,-2.19,-0.20,207.7,20.77
340,Entry long,2025-04-09 11:00:00,Long,1.8354,1000,1835.4,-2.24,-0.21,1.74,0.16,-2.19,-0.20,207.7,20.77
341,Exit short,2025-04-09 13:00:00,TP,1.8258,1000,1829.4,2.04,0.19,2.09,0.19,-0.05,0.00,209.74,20.97
341,Entry short,2025-04-09 13:00:00,Short,1.8294,1000,1829.4,2.04,0.19,2.09,0.19,-0.05,0.00,209.74,20.97
342,Exit long,2025-04-09 14:00:00,TP,1.8372,1000,1833.6,2.04,0.19,2.09,0.19,-0.05,0.00,211.78,21.18
342,Entry long,2025-04-09 14:00:00,Long,1.8336,1000,1833.6,2.04,0.19,2.09,0.19,-0.05,0.00,211.78,21.18
343,Exit short,2025-04-09 17:00:00,TP,1.8282,1000,1831.8,2.04,0.19,2.09,0.19,-0.05,0.00,213.83,21.38
343,Entry short,2025-04-09 16:00:00,Short,1.8318,1000,1831.8,2.04,0.19,2.09,0.19,-0.05,0.00,213.83,21.38
344,Exit short,2025-04-09 23:00:00,SL,1.7838,1000,1780.2,-2.32,-0.21,0,0.00,-2.27,-0.21,211.51,21.15
344,Entry short,2025-04-09 22:00:00,Short,1.7802,1000,1780.2,-2.32,-0.21,0,0.00,-2.27,-0.21,211.51,21.15
345,Exit long,2025-04-10 00:00:00,TP,1.7916,1000,1788,2.11,0.19,2.17,0.20,-0.05,0.00,213.63,21.36
345,Entry long,2025-04-10 00:00:00,Long,1.788,1000,1788,2.11,0.19,2.17,0.20,-0.05,0.00,213.63,21.36
346,Exit short,2025-04-10 03:00:00,TP,1.7808,1000,1784.4,2.11,0.19,2.17,0.20,-0.05,0.00,215.74,21.57
346,Entry short,2025-04-10 02:00:00,Short,1.7844,1000,1784.4,2.11,0.19,2.17,0.20,-0.05,0.00,215.74,21.57
347,Exit long,2025-04-10 07:00:00,TP,1.7856,1000,1782,2.11,0.19,2.17,0.20,-0.05,0.00,217.86,21.79
347,Entry long,2025-04-10 07:00:00,Long,1.782,1000,1782,2.11,0.19,2.17,0.20,-0.05,0.00,217.86,21.79
348,Exit long,2025-04-10 14:00:00,SL,1.7922,1000,1795.8,-2.32,-0.21,1.43,0.13,-2.27,-0.21,215.54,21.55
348,Entry long,2025-04-10 13:00:00,Long,1.7958,1000,1795.8,-2.32,-0.21,1.43,0.13,-2.27,-0.21,215.54,21.55
349,Exit long,2025-04-10 15:00:00,TP,1.8006,1000,1797,2.11,0.19,2.16,0.20,-0.05,0.00,217.65,21.77
349,Entry long,2025-04-10 15:00:00,Long,1.797,1000,1797,2.11,0.19,2.16,0.20,-0.05,0.00,217.65,21.77
350,Exit short,2025-04-10 22:00:00,SL,1.803,1000,1799.4,-2.34,-0.21,0.32,0.03,-2.29,-0.20,215.31,21.53
350,Entry short,2025-04-10 21:00:00,Short,1.7994,1000,1799.4,-2.34,-0.21,0.32,0.03,-2.29,-0.20,215.31,21.53
351,Exit long,2025-04-11 00:00:00,TP,1.8096,1000,1806,2.14,0.19,2.19,0.19,-0.05,0.00,217.44,21.74
351,Entry long,2025-04-10 23:00:00,Long,1.806,1000,1806,2.14,0.19,2.19,0.19,-0.05,0.00,217.44,21.74
352,Exit short,2025-04-11 03:00:00,SL,1.8156,1000,1812,-2.34,-0.21,1.82,0.16,-2.29,-0.20,215.1,21.51
352,Entry short,2025-04-11 02:00:00,Short,1.812,1000,1812,-2.34,-0.21,1.82,0.16,-2.29,-0.20,215.1,21.51
353,Exit long,2025-04-11 04:00:00,TP,1.8216,1000,1818,2.14,0.19,2.19,0.19,-0.05,0.00,217.24,21.72
353,Entry long,2025-04-11 04:00:00,Long,1.818,1000,1818,2.14,0.19,2.19,0.19,-0.05,0.00,217.24,21.72
354,Exit long,2025-04-11 08:00:00,TP,1.8294,1000,1825.8,2.14,0.19,2.19,0.19,-0.05,0.00,219.37,21.94
354,Entry long,2025-04-11 07:00:00,Long,1.8258,1000,1825.8,2.14,0.19,2.19,0.19,-0.05,0.00,219.37,21.94
355,Exit short,2025-04-11 10:00:00,TP,1.8258,1000,1829.4,2.14,0.19,2.19,0.19,-0.05,0.00,221.51,22.15
355,Entry short,2025-04-11 09:00:00,Short,1.8294,1000,1829.4,2.14,0.19,2.19,0.19,-0.05,0.00,221.51,22.15
356,Exit short,2025-04-11 16:00:00,TP,1.812,1000,1815.6,2.14,0.19,2.19,0.19,-0.05,0.00,223.65,22.36
356,Entry short,2025-04-11 15:00:00,Short,1.8156,1000,1815.6,2.14,0.19,2.19,0.19,-0.05,0.00,223.65,22.36
357,Exit short,2025-04-13 21:00:00,TP,1.7964,1000,1800,2.16,0.19,2.21,0.20,-0.05,0.00,225.81,22.58
357,Entry short,2025-04-13 21:00:00,Short,1.8,1000,1800,2.16,0.19,2.21,0.20,-0.05,0.00,225.81,22.58
358,Exit long,2025-04-13 23:00:00,SL,1.8006,1000,1804.2,-2.37,-0.21,0,0.00,-2.32,-0.20,223.44,22.34
358,Entry long,2025-04-13 22:00:00,Long,1.8042,1000,1804.2,-2.37,-0.21,0,0.00,-2.32,-0.20,223.44,22.34
359,Exit short,2025-04-14 11:00:00,SL,1.803,1000,1799.4,-2.37,-0.21,1.08,0.10,-2.32,-0.20,221.07,22.11
359,Entry short,2025-04-14 08:00:00,Short,1.7994,1000,1799.4,-2.37,-0.21,1.08,0.10,-2.32,-0.20,221.07,22.11
360,Exit short,2025-04-14 17:00:00,TP,1.7946,1000,1798.2,2.16,0.19,2.21,0.20,-0.81,-0.07,223.23,22.32
360,Entry short,2025-04-14 14:00:00,Short,1.7982,1000,1798.2,2.16,0.19,2.21,0.20,-0.81,-0.07,223.23,22.32
361,Exit short,2025-04-15 13:00:00,TP,1.7754,1000,1779,2.17,0.19,2.23,0.20,-0.05,0.00,225.4,22.54
361,Entry short,2025-04-15 12:00:00,Short,1.779,1000,1779,2.17,0.19,2.23,0.20,-0.05,0.00,225.4,22.54
362,Exit long,2025-04-16 00:00:00,TP,1.7856,1000,1782,2.18,0.19,2.23,0.20,-0.05,0.00,227.58,22.76
362,Entry long,2025-04-16 00:00:00,Long,1.782,1000,1782,2.18,0.19,2.23,0.20,-0.05,0.00,227.58,22.76
363,Exit long,2025-04-16 08:00:00,SL,1.7862,1000,1789.8,-2.39,-0.21,1.85,0.16,-2.34,-0.21,225.19,22.52
363,Entry long,2025-04-16 05:00:00,Long,1.7898,1000,1789.8,-2.39,-0.21,1.85,0.16,-2.34,-0.21,225.19,22.52
364,Exit short,2025-04-16 17:00:00,SL,1.7862,1000,1782.6,-2.39,-0.21,0.39,0.03,-2.34,-0.21,222.81,22.28
364,Entry short,2025-04-16 10:00:00,Short,1.7826,1000,1782.6,-2.39,-0.21,0.39,0.03,-2.34,-0.21,222.81,22.28
