Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2023-07-25 01:00:00,[ExitL rA:NaN hA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN PS:U SQ:0],1.6422,1000,1642.8,-0.6,-0.05,0.3,0.03,-0.5,-0.05,-0.6,-0.06
1,Entry long,2023-07-25 00:00:00,[R002L rA:NaN hA:NaN R:NaN V:1 B:0.5 M:- ST:D CH:NaN CF:- MI:NaN SK:NaN PS:D SQ:0],1.6428,1000,1642.8,-0.6,-0.05,0.3,0.03,-0.5,-0.05,-0.6,-0.06
2,Exit short,2023-07-26 00:00:00,[ExitS rA:NaN hA:NaN R:15 V:2.5 B:0.2 M:- ST:D CH:8 CF:- MI:18 SK:15 PS:D SQ:0],1.6284,1000,1630.8,1.43,0.13,2.33,0.21,-0.1,-0.01,0.83,0.08
2,Entry short,2023-07-25 14:00:00,[R001S rA:NaN hA:NaN R:4 V:0.6 B:0.09 M:- ST:D CH:6 CF:- MI:0 SK:0 PS:D SQ:0],1.6308,1000,1630.8,1.43,0.13,2.33,0.21,-0.1,-0.01,0.83,0.08
3,Exit long,2023-07-30 23:00:00,[ExitL rA:NaN hA:19 R:74 V:1.23 B:0.83 M:+ ST:U CH:13 CF:+ MI:83 SK:84 PS:U SQ:0],1.656,1000,1656.6,-0.6,-0.05,0.36,0.03,-0.5,-0.05,0.23,0.02
3,Entry long,2023-07-30 23:00:00,[R001L rA:NaN hA:NaN R:85 V:0.88 B:0.99 M:+ ST:U CH:11 CF:+ MI:85 SK:100 PS:U SQ:0],1.6566,1000,1656.6,-0.6,-0.05,0.36,0.03,-0.5,-0.05,0.23,0.02
4,Exit short,2023-08-01 01:00:00,[ExitS rA:90 hA:42 R:22 V:2.83 B:0.2 M:- ST:D CH:8 CF:- MI:24 SK:15 PS:D SQ:0],1.6374,1000,1642.8,3.43,0.31,4.29,0.39,-0.1,-0.01,3.66,0.37
4,Entry short,2023-07-31 14:00:00,[R001S rA:NaN hA:35 R:22 V:0.5 B:0.05 M:- ST:D CH:18 CF:- MI:31 SK:0 PS:D SQ:0],1.6428,1000,1642.8,3.43,0.31,4.29,0.39,-0.1,-0.01,3.66,0.37
5,Exit long,2023-08-02 01:00:00,[ExitL rA:63 hA:42 R:84 V:2.96 B:0.8 M:+ ST:U CH:8 CF:+ MI:80 SK:85 PS:U SQ:0],1.6626,1000,1660.2,1.39,0.13,2.28,0.21,-0.17,-0.02,5.05,0.50
5,Entry long,2023-08-01 16:00:00,[R001L rA:63 hA:42 R:95 V:0.42 B:0.91 M:+ ST:U CH:0 CF:+ MI:100 SK:100 PS:U SQ:0],1.6602,1000,1660.2,1.39,0.13,2.28,0.21,-0.17,-0.02,5.05,0.50
6,Exit long,2023-08-03 02:00:00,[ExitL rA:79 hA:41 R:71 V:1.14 B:0.82 M:+ ST:U CH:17 CF:+ MI:75 SK:82 PS:U SQ:0],1.6734,1000,1671,1.37,0.13,1.86,0.17,-0.1,-0.01,6.42,0.64
6,Entry long,2023-08-02 15:00:00,[R001L rA:72 hA:37 R:73 V:0.46 B:0.88 M:- ST:U CH:37 CF:+ MI:64 SK:100 PS:U SQ:0],1.671,1000,1671,1.37,0.13,1.86,0.17,-0.1,-0.01,6.42,0.64
