Trade #,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
43,Entry long,2023-09-27 17:00:00,Long,1.6554,1000,1655.4,-0.87,-0.08,0,0.00,-0.82,-0.08,14.78,1.48
44,Exit short,2023-09-28 07:00:00,SL,1.65,1000,1648.8,-0.86,-0.08,0.71,0.07,-0.81,-0.08,13.92,1.39
44,Entry short,2023-09-28 03:00:00,Short,1.6488,1000,1648.8,-0.86,-0.08,0.71,0.07,-0.81,-0.08,13.92,1.39
45,Exit long,2023-09-29 17:00:00,TP,1.6428,1000,1641,1.06,0.10,1.11,0.11,-0.05,0.00,14.98,1.50
45,Entry long,2023-09-29 15:00:00,Long,1.641,1000,1641,1.06,0.10,1.11,0.11,-0.05,0.00,14.98,1.50
46,Exit long,2023-10-02 02:00:00,TP,1.6464,1000,1644.6,1.06,0.10,1.11,0.10,-0.05,0.00,16.04,1.60
46,Entry long,2023-10-02 02:00:00,Long,1.6446,1000,1644.6,1.06,0.10,1.11,0.10,-0.05,0.00,16.04,1.60
47,Exit long,2023-10-03 04:00:00,TP,1.6518,1000,1650,1.05,0.10,1.1,0.10,-0.05,0.00,17.09,1.71
47,Entry long,2023-10-03 02:00:00,Long,1.65,1000,1650,1.05,0.10,1.1,0.10,-0.05,0.00,17.09,1.71
48,Exit long,2023-10-03 23:00:00,SL,1.6596,1000,1660.8,-0.85,-0.08,0.71,0.07,-0.8,-0.08,16.24,1.62
48,Entry long,2023-10-03 09:00:00,Long,1.6608,1000,1660.8,-0.85,-0.08,0.71,0.07,-0.8,-0.08,16.24,1.62
49,Exit long,2023-10-05 00:00:00,SL,1.6596,1000,1660.8,-0.86,-0.08,0.38,0.04,-0.81,-0.08,15.38,1.54
49,Entry long,2023-10-04 15:00:00,Long,1.6608,1000,1660.8,-0.86,-0.08,0.38,0.04,-0.81,-0.08,15.38,1.54
50,Exit short,2023-10-05 01:00:00,TP,1.6548,1000,1656.6,1.04,0.10,1.09,0.10,-0.05,0.00,16.42,1.64
50,Entry short,2023-10-05 01:00:00,Short,1.6566,1000,1656.6,1.04,0.10,1.09,0.10,-0.05,0.00,16.42,1.64
51,Exit long,2023-10-06 12:00:00,SL,1.6596,1000,1660.8,-0.86,-0.08,0.33,0.03,-0.81,-0.08,15.56,1.56
51,Entry long,2023-10-06 11:00:00,Long,1.6608,1000,1660.8,-0.86,-0.08,0.33,0.03,-0.81,-0.08,15.56,1.56
52,Exit long,2023-10-08 23:00:00,SL,1.6596,1000,1660.8,-0.86,-0.08,0,0.00,-0.81,-0.08,14.7,1.47
52,Entry long,2023-10-08 21:00:00,Long,1.6608,1000,1660.8,-0.86,-0.08,0,0.00,-0.81,-0.08,14.7,1.47
53,Exit short,2023-10-09 15:00:00,TP,1.6536,1000,1655.4,1.05,0.10,1.1,0.10,-0.05,0.00,15.75,1.57
53,Entry short,2023-10-09 11:00:00,Short,1.6554,1000,1655.4,1.05,0.10,1.1,0.10,-0.05,0.00,15.75,1.57
54,Exit long,2023-10-10 15:00:00,SL,1.6524,1000,1653.6,-0.87,-0.08,0,0.00,-0.82,-0.08,14.88,1.49
54,Entry long,2023-10-10 14:00:00,Long,1.6536,1000,1653.6,-0.87,-0.08,0,0.00,-0.82,-0.08,14.88,1.49
55,Exit long,2023-10-12 05:00:00,TP,1.6566,1000,1654.8,1.06,0.10,1.11,0.10,-0.29,-0.03,15.94,1.59
55,Entry long,2023-10-11 14:00:00,Long,1.6548,1000,1654.8,1.06,0.10,1.11,0.10,-0.29,-0.03,15.94,1.59
56,Exit long,2023-10-15 23:00:00,SL,1.6686,1000,1669.8,-0.85,-0.08,0,0.00,-0.8,-0.08,15.09,1.51
56,Entry long,2023-10-15 21:00:00,Long,1.6698,1000,1669.8,-0.85,-0.08,0,0.00,-0.8,-0.08,15.09,1.51
57,Exit short,2023-10-16 19:00:00,SL,1.665,1000,1663.8,-0.85,-0.08,0.33,0.03,-0.8,-0.08,14.24,1.42
57,Entry short,2023-10-16 15:00:00,Short,1.6638,1000,1663.8,-0.85,-0.08,0.33,0.03,-0.8,-0.08,14.24,1.42
58,Exit short,2023-10-18 02:00:00,TP,1.6602,1000,1662,1.05,0.10,1.1,0.10,-0.43,-0.04,15.28,1.53
58,Entry short,2023-10-17 14:00:00,Short,1.662,1000,1662,1.05,0.10,1.1,0.10,-0.43,-0.04,15.28,1.53
59,Exit long,2023-10-19 00:00:00,TP,1.6674,1000,1665.6,1.04,0.10,1.09,0.10,-0.05,0.00,16.33,1.63
59,Entry long,2023-10-19 00:00:00,Long,1.6656,1000,1665.6,1.04,0.10,1.09,0.10,-0.05,0.00,16.33,1.63
60,Exit long,2023-10-20 05:00:00,TP,1.6752,1000,1673.4,1.04,0.10,1.09,0.10,-0.05,0.00,17.37,1.74
60,Entry long,2023-10-19 22:00:00,Long,1.6734,1000,1673.4,1.04,0.10,1.09,0.10,-0.05,0.00,17.37,1.74
61,Exit long,2023-10-23 19:00:00,TP,1.6836,1000,1681.8,1.04,0.10,1.09,0.10,-0.05,0.00,18.41,1.84
61,Entry long,2023-10-23 17:00:00,Long,1.6818,1000,1681.8,1.04,0.10,1.09,0.10,-0.05,0.00,18.41,1.84
62,Exit short,2023-10-24 07:00:00,TP,1.6758,1000,1677.6,1.04,0.10,1.09,0.10,-0.05,0.00,19.45,1.95
62,Entry short,2023-10-24 06:00:00,Short,1.6776,1000,1677.6,1.04,0.10,1.09,0.10,-0.05,0.00,19.45,1.95
63,Exit short,2023-10-25 00:00:00,TP,1.6626,1000,1664.4,1.05,0.10,1.1,0.10,-0.05,0.00,20.5,2.05
63,Entry short,2023-10-25 00:00:00,Short,1.6644,1000,1664.4,1.05,0.10,1.1,0.10,-0.05,0.00,20.5,2.05
64,Exit long,2023-10-25 09:00:00,TP,1.6674,1000,1665.6,1.05,0.10,1.1,0.10,-0.05,0.00,21.54,2.15
64,Entry long,2023-10-25 08:00:00,Long,1.6656,1000,1665.6,1.05,0.10,1.1,0.10,-0.05,0.00,21.54,2.15
65,Exit short,2023-10-26 14:00:00,TP,1.6698,1000,1671.6,1.04,0.10,1.09,0.10,-0.43,-0.04,22.58,2.26
65,Entry short,2023-10-26 08:00:00,Short,1.6716,1000,1671.6,1.04,0.10,1.09,0.10,-0.43,-0.04,22.58,2.26
66,Exit short,2023-10-26 16:00:00,SL,1.6698,1000,1668.6,-0.85,-0.08,0.33,0.03,-0.81,-0.08,21.73,2.17
66,Entry short,2023-10-26 14:00:00,Short,1.6686,1000,1668.6,-0.85,-0.08,0.33,0.03,-0.81,-0.08,21.73,2.17
67,Exit long,2023-10-31 06:00:00,TP,1.6698,1000,1668,1.05,0.10,1.1,0.10,-0.05,0.00,22.78,2.28
67,Entry long,2023-10-31 03:00:00,Long,1.668,1000,1668,1.05,0.10,1.1,0.10,-0.05,0.00,22.78,2.28
68,Exit short,2023-11-01 12:00:00,TP,1.6614,1000,1663.2,1.04,0.10,1.09,0.10,-0.05,0.00,23.82,2.38
68,Entry short,2023-11-01 11:00:00,Short,1.6632,1000,1663.2,1.04,0.10,1.09,0.10,-0.05,0.00,23.82,2.38
69,Exit long,2023-11-02 14:00:00,TP,1.6554,1000,1653.6,1.05,0.10,1.1,0.10,-0.05,0.00,24.88,2.49
69,Entry long,2023-11-02 13:00:00,Long,1.6536,1000,1653.6,1.05,0.10,1.1,0.10,-0.05,0.00,24.88,2.49
70,Exit short,2023-11-06 00:00:00,TP,1.6464,1000,1648.2,1.07,0.10,1.12,0.10,-0.05,0.00,25.95,2.59
70,Entry short,2023-11-05 22:00:00,Short,1.6482,1000,1648.2,1.07,0.10,1.12,0.10,-0.05,0.00,25.95,2.59
71,Exit long,2023-11-06 21:00:00,SL,1.6518,1000,1653,-0.88,-0.08,0,0.00,-0.83,-0.08,25.07,2.51
71,Entry long,2023-11-06 16:00:00,Long,1.653,1000,1653,-0.88,-0.08,0,0.00,-0.83,-0.08,25.07,2.51
72,Exit long,2023-11-07 04:00:00,TP,1.6578,1000,1656,1.07,0.10,1.12,0.10,-0.05,0.00,26.14,2.61
72,Entry long,2023-11-07 03:00:00,Long,1.656,1000,1656,1.07,0.10,1.12,0.10,-0.05,0.00,26.14,2.61
73,Exit long,2023-11-09 19:00:00,TP,1.6734,1000,1671.6,1.05,0.10,1.1,0.10,-0.05,0.00,27.19,2.72
73,Entry long,2023-11-09 18:00:00,Long,1.6716,1000,1671.6,1.05,0.10,1.1,0.10,-0.05,0.00,27.19,2.72
74,Exit long,2023-11-10 11:00:00,TP,1.6806,1000,1678.8,1.05,0.10,1.1,0.10,-0.05,0.00,28.24,2.82
74,Entry long,2023-11-10 09:00:00,Long,1.6788,1000,1678.8,1.05,0.10,1.1,0.10,-0.05,0.00,28.24,2.82
75,Exit short,2023-11-13 13:00:00,SL,1.6758,1000,1674.6,-0.86,-0.08,0,0.00,-0.81,-0.08,27.38,2.74
75,Entry short,2023-11-13 12:00:00,Short,1.6746,1000,1674.6,-0.86,-0.08,0,0.00,-0.81,-0.08,27.38,2.74
76,Exit long,2023-11-14 11:00:00,TP,1.6824,1000,1680.6,1.05,0.10,1.1,0.10,-0.11,-0.01,28.43,2.84
76,Entry long,2023-11-14 08:00:00,Long,1.6806,1000,1680.6,1.05,0.10,1.1,0.10,-0.11,-0.01,28.43,2.84
77,Exit short,2023-11-14 14:00:00,TP,1.674,1000,1675.8,1.05,0.10,1.1,0.10,-0.05,0.00,29.48,2.95
77,Entry short,2023-11-14 13:00:00,Short,1.6758,1000,1675.8,1.05,0.10,1.1,0.10,-0.05,0.00,29.48,2.95
78,Exit short,2023-11-15 08:00:00,TP,1.6698,1000,1671.6,1.07,0.10,1.12,0.10,-0.05,0.00,30.55,3.05
78,Entry short,2023-11-15 07:00:00,Short,1.6716,1000,1671.6,1.07,0.10,1.12,0.10,-0.05,0.00,30.55,3.05
79,Exit long,2023-11-16 02:00:00,TP,1.6746,1000,1672.8,1.07,0.10,1.12,0.10,-0.05,0.00,31.62,3.16
79,Entry long,2023-11-16 01:00:00,Long,1.6728,1000,1672.8,1.07,0.10,1.12,0.10,-0.05,0.00,31.62,3.16
80,Exit long,2023-11-16 15:00:00,TP,1.6776,1000,1675.8,1.07,0.10,1.12,0.10,-0.05,0.00,32.69,3.27
80,Entry long,2023-11-16 15:00:00,Long,1.6758,1000,1675.8,1.07,0.10,1.12,0.10,-0.05,0.00,32.69,3.27
