Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
156,Entry long,2025-08-19 14:00:00,[R001L rA:38 R:75 V:0.32 B:0.95 M:+ ST:U CH:12 CF:+ MI:81 SK:100 PS:U SQ:0],1.8036,1000,1803.6,0.18,0.02,1,0.09,-0.11,-0.01,252.96,25.30
157,Exit short,2025-08-26 00:00:00,[ExitS rA:43 R:22 V:1.72 B:0.2 M:- ST:D CH:5 CF:- MI:16 SK:19 PS:D SQ:0],1.7934,1000,1800.6,4.46,0.38,5.54,0.47,-0.11,-0.01,257.42,25.74
157,Entry short,2025-08-25 14:00:00,[R001S rA:40 R:26 V:0.83 B:-0.03 M:- ST:D CH:25 CF:- MI:17 SK:0 PS:D SQ:0],1.8006,1000,1800.6,4.46,0.38,5.54,0.47,-0.11,-0.01,257.42,25.74
158,Exit short,2025-08-26 22:00:00,[ExitS rA:63 R:41 V:1.67 B:0.22 M:- ST:D CH:42 CF:- MI:27 SK:29 PS:D SQ:0],1.7928,1000,1792.8,-0.21,-0.02,0,0.00,-0.49,-0.04,257.21,25.72
158,Entry short,2025-08-26 21:00:00,[R001S rA:37 R:34 V:0.35 B:-0.02 M:- ST:D CH:37 CF:- MI:18 SK:0 PS:D SQ:0],1.7928,1000,1792.8,-0.21,-0.02,0,0.00,-0.49,-0.04,257.21,25.72
159,Exit short,2025-09-10 21:00:00,[ExitS rA:33 R:22 V:0.64 B:0.2 M:- ST:D CH:9 CF:- MI:5 SK:15 PS:D SQ:0],1.7688,1000,1768.2,-0.61,-0.05,0,0.00,-0.5,-0.04,256.6,25.66
159,Entry short,2025-09-10 21:00:00,[R001S rA:33 R:11 V:1.09 B:0.09 M:- ST:D CH:3 CF:- MI:0 SK:0 PS:D SQ:0],1.7682,1000,1768.2,-0.61,-0.05,0,0.00,-0.5,-0.04,256.6,25.66
160,Exit short,2025-09-12 05:00:00,[ExitS rA:58 R:23 V:0.81 B:0.19 M:- ST:D CH:5 CF:- MI:5 SK:15 PS:D SQ:0],1.761,1000,1760.4,-0.61,-0.05,0.29,0.03,-0.51,-0.04,255.99,25.60
160,Entry short,2025-09-12 00:00:00,[R001S rA:58 R:13 V:0.79 B:0.06 M:- ST:D CH:2 CF:- MI:0 SK:0 PS:D SQ:0],1.7604,1000,1760.4,-0.61,-0.05,0.29,0.03,-0.51,-0.04,255.99,25.60
161,Exit long,2025-09-17 10:00:00,[ExitL rA:38 R:73 V:0.61 B:0.81 M:+ ST:U CH:21 CF:+ MI:87 SK:82 PS:U SQ:0],1.7754,1000,1774.2,0.59,0.05,1.5,0.13,-0.11,-0.01,256.58,25.66
161,Entry long,2025-09-16 14:00:00,[R001L rA:33 R:78 V:0.77 B:0.9 M:+ ST:U CH:12 CF:+ MI:85 SK:100 PS:U SQ:0],1.7742,1000,1774.2,0.59,0.05,1.5,0.13,-0.11,-0.01,256.58,25.66
162,Exit long,2025-09-19 05:00:00,[ExitL rA:50 R:63 V:1.22 B:0.8 M:+ ST:U CH:22 CF:+ MI:73 SK:80 PS:U SQ:0],1.7826,1000,1781.4,0.58,0.05,1.08,0.09,-0.11,-0.01,257.16,25.72
162,Entry long,2025-09-18 19:00:00,[R001L rA:41 R:66 V:1.36 B:0.92 M:- ST:U CH:34 CF:+ MI:81 SK:100 PS:U SQ:0],1.7814,1000,1781.4,0.58,0.05,1.08,0.09,-0.11,-0.01,257.16,25.72
163,Exit long,2025-10-10 18:00:00,[ExitL rA:36 R:85 V:3.07 B:0.8 M:- ST:U CH:5 CF:+ MI:75 SK:85 PS:U SQ:0],1.7892,1000,1771.2,11.59,1.00,12.09,1.04,-0.1,-0.01,268.75,26.88
163,Entry long,2025-10-10 15:00:00,[R001L rA:33 R:78 V:0.26 B:0.97 M:+ ST:U CH:14 CF:+ MI:81 SK:100 PS:U SQ:0],1.7712,1000,1771.2,11.59,1.00,12.09,1.04,-0.1,-0.01,268.75,26.88
164,Exit long,2025-10-12 21:00:00,[ExitL rA:84 R:81 V:0.07 B:0.81 M:- ST:U CH:16 CF:+ MI:80 SK:82 PS:U SQ:0],1.7934,1000,1792.2,0.57,0.05,1.47,0.12,-0.11,-0.01,269.32,26.93
164,Entry long,2025-10-10 20:00:00,[R001L rA:33 R:90 V:0.65 B:0.9 M:- ST:U CH:11 CF:+ MI:79 SK:100 PS:U SQ:0],1.7922,1000,1792.2,0.57,0.05,1.47,0.12,-0.11,-0.01,269.32,26.93
165,Exit long,2025-10-17 06:00:00,[ExitL rA:85 R:80 V:1.34 B:0.8 M:+ ST:U CH:5 CF:+ MI:92 SK:85 PS:U SQ:0],1.8096,1000,1799.4,6.4,0.55,6.9,0.59,-0.11,-0.01,275.72,27.57
165,Entry long,2025-10-16 17:00:00,[R001L rA:85 R:73 V:0.41 B:0.95 M:+ ST:U CH:11 CF:+ MI:85 SK:100 PS:U SQ:0],1.7994,1000,1799.4,6.4,0.55,6.9,0.59,-0.11,-0.01,275.72,27.57
