Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
32,Exit short,2025-10-30 13:00:00,[ExitS 5A:31 bA:31 R:44 V:0.36 B:0.19 M:- ST:D CH:24 CF:- MI:42 SK:22 PS:D SQ:0],202.65,1000,202700,0.19,0.01,0.92,0.07,-0.07,0.00,81.97,8.20
32,Entry short,2025-10-30 11:00:00,[R001S 5A:35 bA:35 R:44 V:0.66 B:0.03 M:- ST:D CH:37 CF:+ MI:58 SK:0 PS:D SQ:0],202.7,1000,202700,0.19,0.01,0.92,0.07,-0.07,0.00,81.97,8.20
33,Exit long,2025-10-30 16:00:00,[ExitL 5A:29 bA:29 R:42 V:1 B:0.14 M:- ST:D CH:25 CF:- MI:29 SK:11 PS:D SQ:0],202.6,1000,202650,-0.46,-0.03,0.34,0.03,-0.39,-0.03,81.51,8.15
33,Entry long,2025-10-30 13:00:00,[R002L 5A:31 bA:31 R:44 V:0.36 B:0.19 M:- ST:D CH:24 CF:- MI:42 SK:22 PS:D SQ:0],202.65,1000,202650,-0.46,-0.03,0.34,0.03,-0.39,-0.03,81.51,8.15
34,Exit long,2025-11-05 09:00:00,[ExitL 5A:57 bA:57 R:77 V:3.28 B:0.8 M:+ ST:U CH:5 CF:+ MI:75 SK:85 PS:U SQ:0],201.1,1000,200650,2.8,0.21,3.51,0.27,-0.07,0.00,84.31,8.43
34,Entry long,2025-11-05 07:00:00,[R001L 5A:37 bA:37 R:75 V:0.35 B:1.01 M:+ ST:U CH:18 CF:+ MI:85 SK:100 PS:U SQ:0],200.65,1000,200650,2.8,0.21,3.51,0.27,-0.07,0.00,84.31,8.43
35,Exit short,2025-11-06 09:00:00,[ExitS 5A:34 bA:34 R:37 V:0.53 B:0.18 M:- ST:D CH:5 CF:- MI:5 SK:14 PS:D SQ:0],200.6,1000,200900,1.82,0.14,2.53,0.19,-0.07,0.00,86.12,8.61
35,Entry short,2025-11-06 06:00:00,[R001S 5A:32 bA:32 R:47 V:0.47 B:0.03 M:- ST:D CH:44 CF:- MI:48 SK:0 PS:D SQ:0],200.9,1000,200900,1.82,0.14,2.53,0.19,-0.07,0.00,86.12,8.61
36,Exit long,2025-11-06 16:00:00,[ExitL 5A:26 bA:26 R:59 V:5.04 B:0.81 M:+ ST:U CH:11 CF:- MI:31 SK:81 PS:U SQ:0],201.05,1000,200600,2.81,0.21,3.3,0.25,-0.07,0.00,88.93,8.89
36,Entry long,2025-11-06 09:00:00,[R002L 5A:34 bA:34 R:37 V:0.53 B:0.18 M:- ST:D CH:5 CF:- MI:5 SK:14 PS:D SQ:0],200.6,1000,200600,2.81,0.21,3.3,0.25,-0.07,0.00,88.93,8.89
