Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
41,Exit long,2023-07-19 22:00:00,Close entry(s) order Long,35250,1,17550,73.1,0.42,108.55,0.62,-8.95,-0.05,2862.1,28.62
41,Entry long,2023-07-18 15:00:00,Long,35100,1,17550,73.1,0.42,108.55,0.62,-8.95,-0.05,2862.1,28.62
42,Exit short,2023-08-18 14:00:00,Close entry(s) order Short,34440,1,17205,-16.9,-0.10,14.05,0.08,-15.95,-0.09,2845.2,28.45
42,Entry short,2023-08-18 12:00:00,Short,34410,1,17205,-16.9,-0.10,14.05,0.08,-15.95,-0.09,2845.2,28.45
43,Exit short,2023-08-25 10:00:00,Close entry(s) order Short,34200,1,17115,13.1,0.08,44.05,0.26,-0.95,-0.01,2858.3,28.58
43,Entry short,2023-08-24 19:00:00,Short,34230,1,17115,13.1,0.08,44.05,0.26,-0.95,-0.01,2858.3,28.58
44,Exit long,2023-08-30 14:00:00,Close entry(s) order Long,35010,1,17505,-1.9,-0.01,29.05,0.17,-0.95,-0.01,2856.4,28.56
44,Entry long,2023-08-30 13:00:00,Long,35010,1,17505,-1.9,-0.01,29.05,0.17,-0.95,-0.01,2856.4,28.56
45,Exit short,2023-09-06 18:00:00,Close entry(s) order Short,34440,1,17205,-16.9,-0.10,14.05,0.08,-15.95,-0.09,2839.5,28.40
45,Entry short,2023-09-06 16:00:00,Short,34410,1,17205,-16.9,-0.10,14.05,0.08,-15.95,-0.09,2839.5,28.40
46,Exit short,2023-09-25 08:00:00,Close entry(s) order Short,34290,1,17280,133.1,0.77,155.05,0.90,-0.95,-0.01,2972.6,29.73
46,Entry short,2023-09-21 13:00:00,Short,34560,1,17280,133.1,0.77,155.05,0.90,-0.95,-0.01,2972.6,29.73
47,Exit short,2023-10-04 07:00:00,Close entry(s) order Short,33090,1,16545,-1.9,-0.01,29.05,0.18,-0.95,-0.01,2970.7,29.71
47,Entry short,2023-10-04 06:00:00,Short,33090,1,16545,-1.9,-0.01,29.05,0.18,-0.95,-0.01,2970.7,29.71
48,Exit long,2023-10-06 17:00:00,Close entry(s) order Long,33600,1,16800,-1.9,-0.01,14.05,0.08,-15.95,-0.09,2968.8,29.69
48,Entry long,2023-10-06 15:00:00,Long,33600,1,16800,-1.9,-0.01,14.05,0.08,-15.95,-0.09,2968.8,29.69
49,Exit long,2023-10-10 18:00:00,Close entry(s) order Long,33990,1,16980,13.1,0.08,51.55,0.30,-0.95,-0.01,2981.9,29.82
49,Entry long,2023-10-10 15:00:00,Long,33960,1,16980,13.1,0.08,51.55,0.30,-0.95,-0.01,2981.9,29.82
50,Exit short,2023-10-20 18:00:00,Close entry(s) order Short,33420,1,16710,-1.9,-0.01,14.05,0.08,-15.95,-0.10,2980,29.80
50,Entry short,2023-10-20 14:00:00,Short,33420,1,16710,-1.9,-0.01,14.05,0.08,-15.95,-0.10,2980,29.80
51,Exit long,2023-10-31 08:00:00,Close entry(s) order Long,33000,1,16470,28.1,0.17,44.05,0.27,-0.95,-0.01,3008.1,30.08
51,Entry long,2023-10-30 17:00:00,Long,32940,1,16470,28.1,0.17,44.05,0.27,-0.95,-0.01,3008.1,30.08
52,Exit long,2023-11-06 18:00:00,Close entry(s) order Long,34140,1,16830,238.1,1.41,279.05,1.66,-0.95,-0.01,3246.2,32.46
52,Entry long,2023-11-02 14:00:00,Long,33660,1,16830,238.1,1.41,279.05,1.66,-0.95,-0.01,3246.2,32.46
53,Exit long,2023-11-16 12:00:00,Close entry(s) order Long,35010,1,17430,73.1,0.42,104.05,0.60,-7.45,-0.04,3319.3,33.19
53,Entry long,2023-11-14 15:00:00,Long,34860,1,17430,73.1,0.42,104.05,0.60,-7.45,-0.04,3319.3,33.19
54,Exit long,2023-12-01 12:00:00,Close entry(s) order Long,36030,1,18000,13.1,0.07,44.05,0.24,-0.95,-0.01,3332.4,33.32
54,Entry long,2023-12-01 02:00:00,Long,36000,1,18000,13.1,0.07,44.05,0.24,-0.95,-0.01,3332.4,33.32
55,Exit long,2023-12-12 14:00:00,Close entry(s) order Long,36810,1,18330,73.1,0.40,104.05,0.57,-0.95,-0.01,3405.5,34.06
55,Entry long,2023-12-11 23:00:00,Long,36660,1,18330,73.1,0.40,104.05,0.57,-0.95,-0.01,3405.5,34.06
56,Exit short,2023-12-21 06:00:00,Close entry(s) order Short,37530,1,18750,-16.9,-0.09,14.05,0.07,-15.95,-0.09,3388.6,33.89
56,Entry short,2023-12-20 20:00:00,Short,37500,1,18750,-16.9,-0.09,14.05,0.07,-15.95,-0.09,3388.6,33.89
57,Exit long,2024-01-23 08:00:00,Close entry(s) order Long,38190,1,19110,-16.9,-0.09,14.05,0.07,-15.95,-0.08,3371.7,33.72
57,Entry long,2024-01-22 14:00:00,Long,38220,1,19110,-16.9,-0.09,14.05,0.07,-15.95,-0.08,3371.7,33.72
58,Exit short,2024-02-13 18:00:00,Close entry(s) order Short,38370,1,19230,43.1,0.22,59.05,0.31,-0.95,0.00,3414.8,34.15
58,Entry short,2024-02-13 14:00:00,Short,38460,1,19230,43.1,0.22,59.05,0.31,-0.95,0.00,3414.8,34.15
59,Exit long,2024-02-16 13:00:00,Close entry(s) order Long,38790,1,19410,-16.9,-0.09,18.55,0.10,-15.95,-0.08,3397.9,33.98
59,Entry long,2024-02-15 20:00:00,Long,38820,1,19410,-16.9,-0.09,18.55,0.10,-15.95,-0.08,3397.9,33.98
60,Exit short,2024-03-06 08:00:00,Close entry(s) order Short,38610,1,19305,-1.9,-0.01,29.05,0.15,-0.95,0.00,3396,33.96
60,Entry short,2024-03-05 19:00:00,Short,38610,1,19305,-1.9,-0.01,29.05,0.15,-0.95,0.00,3396,33.96
61,Exit long,2024-03-12 09:00:00,Close entry(s) order Long,39240,1,19545,73.1,0.37,104.05,0.53,-0.95,0.00,3469.1,34.69
61,Entry long,2024-03-11 22:00:00,Long,39090,1,19545,73.1,0.37,104.05,0.53,-0.95,0.00,3469.1,34.69
62,Exit long,2024-03-22 13:00:00,Close entry(s) order Long,40200,1,19980,118.1,0.59,157.55,0.79,-0.95,0.00,3587.2,35.87
62,Entry long,2024-03-20 22:00:00,Long,39960,1,19980,118.1,0.59,157.55,0.79,-0.95,0.00,3587.2,35.87
63,Exit short,2024-04-03 14:00:00,Close entry(s) order Short,39480,1,19920,178.1,0.89,212.55,1.07,-0.95,0.00,3765.3,37.65
63,Entry short,2024-04-01 20:00:00,Short,39840,1,19920,178.1,0.89,212.55,1.07,-0.95,0.00,3765.3,37.65
64,Exit short,2024-04-10 18:00:00,Close entry(s) order Short,38700,1,19380,28.1,0.14,44.05,0.23,-12.45,-0.06,3793.4,37.93
64,Entry short,2024-04-10 13:00:00,Short,38760,1,19380,28.1,0.14,44.05,0.23,-12.45,-0.06,3793.4,37.93
65,Exit short,2024-04-16 10:00:00,Close entry(s) order Short,37980,1,19035,43.1,0.23,85.05,0.45,-0.95,0.00,3836.5,38.37
65,Entry short,2024-04-15 18:00:00,Short,38070,1,19035,43.1,0.23,85.05,0.45,-0.95,0.00,3836.5,38.37
66,Exit short,2024-04-19 04:00:00,Close entry(s) order Short,37680,1,18885,43.1,0.23,84.55,0.45,-0.95,-0.01,3879.6,38.80
66,Entry short,2024-04-19 01:00:00,Short,37770,1,18885,43.1,0.23,84.55,0.45,-0.95,-0.01,3879.6,38.80
67,Exit short,2024-04-25 15:00:00,Close entry(s) order Short,38040,1,19125,103.1,0.54,134.05,0.70,-0.95,0.00,3982.7,39.83
67,Entry short,2024-04-25 13:00:00,Short,38250,1,19125,103.1,0.54,134.05,0.70,-0.95,0.00,3982.7,39.83
68,Exit long,2024-05-01 19:00:00,Close entry(s) order Long,38400,1,19200,-1.9,-0.01,29.05,0.15,-0.95,0.00,3980.8,39.81
68,Entry long,2024-05-01 18:00:00,Long,38400,1,19200,-1.9,-0.01,29.05,0.15,-0.95,0.00,3980.8,39.81
69,Exit long,2024-05-03 14:00:00,Close entry(s) order Long,38820,1,19335,73.1,0.38,104.05,0.54,-0.95,0.00,4053.9,40.54
69,Entry long,2024-05-03 12:00:00,Long,38670,1,19335,73.1,0.38,104.05,0.54,-0.95,0.00,4053.9,40.54
70,Exit long,2024-05-10 15:00:00,Close entry(s) order Long,39630,1,19800,13.1,0.07,44.05,0.22,-0.95,0.00,4067,40.67
70,Entry long,2024-05-10 08:00:00,Long,39600,1,19800,13.1,0.07,44.05,0.22,-0.95,0.00,4067,40.67
71,Exit short,2024-05-24 15:00:00,Close entry(s) order Short,39210,1,19680,73.1,0.37,110.55,0.56,-0.95,0.00,4140.1,41.40
71,Entry short,2024-05-23 17:00:00,Short,39360,1,19680,73.1,0.37,110.55,0.56,-0.95,0.00,4140.1,41.40
72,Exit short,2024-05-30 14:00:00,Close entry(s) order Short,38190,1,19230,133.1,0.69,149.05,0.78,-0.95,0.00,4273.2,42.73
72,Entry short,2024-05-29 20:00:00,Short,38460,1,19230,133.1,0.69,149.05,0.78,-0.95,0.00,4273.2,42.73
73,Exit short,2024-06-03 18:00:00,Close entry(s) order Short,38460,1,19215,-16.9,-0.09,0,0.00,-15.95,-0.08,4256.3,42.56
73,Entry short,2024-06-03 17:00:00,Short,38430,1,19215,-16.9,-0.09,0,0.00,-15.95,-0.08,4256.3,42.56
74,Exit long,2024-06-12 14:00:00,Close entry(s) order Long,39060,1,19530,-1.9,-0.01,29.05,0.15,-0.95,0.00,4254.4,42.54
