Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
343,Entry long,2026-04-02 07:56:00,Long,46755,1,23377.5,5.6,0.02,21.55,0.09,-0.95,0.00,14700.8,147.01
344,Exit long,2026-04-02 08:33:00,Close entry(s) order Long,46725,1,23370,-9.4,-0.04,6.55,0.03,-8.45,-0.04,14691.4,146.91
344,Entry long,2026-04-02 08:28:00,Long,46740,1,23370,-9.4,-0.04,6.55,0.03,-8.45,-0.04,14691.4,146.91
345,Exit long,2026-04-02 08:57:00,Close entry(s) order Long,46665,1,23340,-9.4,-0.04,6.55,0.03,-8.45,-0.04,14682,146.82
345,Entry long,2026-04-02 08:55:00,Long,46680,1,23340,-9.4,-0.04,6.55,0.03,-8.45,-0.04,14682,146.82
346,Exit short,2026-04-02 10:04:00,Close entry(s) order Short,46605,1,23302.5,-1.9,-0.01,19.55,0.08,-0.95,0.00,14680.1,146.80
346,Entry short,2026-04-02 10:00:00,Short,46605,1,23302.5,-1.9,-0.01,19.55,0.08,-0.95,0.00,14680.1,146.80
347,Exit long,2026-04-03 05:16:00,Close entry(s) order Long,46665,1,23332.5,-1.9,-0.01,18.55,0.08,-0.95,0.00,14678.2,146.78
347,Entry long,2026-04-03 05:03:00,Long,46665,1,23332.5,-1.9,-0.01,18.55,0.08,-0.95,0.00,14678.2,146.78
348,Exit long,2026-04-06 00:31:12,Short,46650,1,23325,-1.9,-0.01,0,0.00,-8.45,-0.04,14676.3,146.76
348,Entry long,2026-04-06 00:23:31,Long,46650,1,23325,-1.9,-0.01,0,0.00,-8.45,-0.04,14676.3,146.76
349,Exit short,2026-04-06 00:36:20,Close entry(s) order Short,46665,1,23325,-9.4,-0.04,7.05,0.03,-8.45,-0.04,14666.9,146.67
349,Entry short,2026-04-06 00:31:12,Short,46650,1,23325,-9.4,-0.04,7.05,0.03,-8.45,-0.04,14666.9,146.67
350,Exit long,2026-04-06 01:00:43,Close entry(s) order Long,46755,1,23340,35.6,0.15,45.55,0.20,-0.95,0.00,14702.5,147.03
350,Entry long,2026-04-06 00:42:12,Long,46680,1,23340,35.6,0.15,45.55,0.20,-0.95,0.00,14702.5,147.03
351,Exit long,2026-04-06 06:01:00,Close entry(s) order Long,46710,1,23355,-1.9,-0.01,20.05,0.09,-0.95,0.00,14700.6,147.01
351,Entry long,2026-04-06 05:45:09,Long,46710,1,23355,-1.9,-0.01,20.05,0.09,-0.95,0.00,14700.6,147.01
352,Exit short,2026-04-06 06:33:14,Close entry(s) order Short,46605,1,23332.5,28.1,0.12,45.55,0.20,-0.95,0.00,14728.7,147.29
352,Entry short,2026-04-06 06:32:16,Short,46665,1,23332.5,28.1,0.12,45.55,0.20,-0.95,0.00,14728.7,147.29
353,Exit long,2026-04-06 06:40:34,Close entry(s) order Long,46695,1,23347.5,-1.9,-0.01,13.05,0.06,-8.45,-0.04,14726.8,147.27
353,Entry long,2026-04-06 06:40:06,Long,46695,1,23347.5,-1.9,-0.01,13.05,0.06,-8.45,-0.04,14726.8,147.27
354,Exit short,2026-04-06 07:02:29,Close entry(s) order Short,46800,1,23392.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,14717.4,147.17
354,Entry short,2026-04-06 07:02:00,Short,46785,1,23392.5,-9.4,-0.04,6.55,0.03,-8.45,-0.04,14717.4,147.17
