Trade #,Type,Date and time,Signal,Price AUD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
45,Entry short,2024-03-21 03:00:00,[R001S rA:50 hA:27 PS:D CD:30],1.6518,1000,1651.8,0.99,0.09,1.88,0.17,-0.1,-0.01,72.9,7.29
46,Exit long,2024-04-05 05:00:00,[ExitL rA:45 hA:30 PS:U CD:30],1.6476,1000,1646.4,0.6,0.05,1.48,0.14,-0.1,-0.01,73.49,7.35
46,Entry long,2024-04-05 01:00:00,[R001L rA:44 hA:30 PS:U CD:30],1.6464,1000,1646.4,0.6,0.05,1.48,0.14,-0.1,-0.01,73.49,7.35
47,Exit long,2024-04-16 15:00:00,[ExitL rA:31 hA:25 PS:U CD:30],1.6596,1000,1659,0.19,0.02,1.23,0.12,-0.1,-0.01,73.69,7.37
47,Entry long,2024-04-16 13:00:00,[R001L rA:39 hA:26 PS:U CD:30],1.659,1000,1659,0.19,0.02,1.23,0.12,-0.1,-0.01,73.69,7.37
48,Exit short,2024-04-19 10:00:00,[ExitS rA:56 hA:27 PS:D CD:30],1.6602,1000,1663.2,1.73,0.16,2.6,0.24,-0.1,-0.01,75.42,7.54
48,Entry short,2024-04-19 04:00:00,[R001S rA:45 hA:25 PS:D CD:30],1.6632,1000,1663.2,1.73,0.16,2.6,0.24,-0.1,-0.01,75.42,7.54
49,Exit short,2024-04-24 09:00:00,[ExitS rA:29 hA:33 PS:D CD:30],1.6434,1000,1643.4,-0.19,-0.02,0.79,0.07,-0.1,-0.01,75.23,7.52
49,Entry short,2024-04-24 01:00:00,[R001S rA:41 hA:34 PS:D CD:30],1.6434,1000,1643.4,-0.19,-0.02,0.79,0.07,-0.1,-0.01,75.23,7.52
50,Exit short,2024-04-29 06:00:00,[ExitS rA:48 hA:25 PS:D CD:30],1.6332,1000,1632.6,-0.58,-0.05,0.3,0.03,-0.49,-0.05,74.64,7.46
50,Entry short,2024-04-29 04:00:00,[R001S rA:43 hA:25 PS:D CD:30],1.6326,1000,1632.6,-0.58,-0.05,0.3,0.03,-0.49,-0.05,74.64,7.46
51,Exit long,2024-04-30 14:00:00,[ExitL rA:65 hA:31 PS:U CD:30],1.6476,1000,1644.6,1.78,0.16,2.66,0.25,-0.1,-0.01,76.42,7.64
51,Entry long,2024-04-30 12:00:00,[R001L rA:59 hA:29 PS:U CD:30],1.6446,1000,1644.6,1.78,0.16,2.66,0.25,-0.1,-0.01,76.42,7.64
52,Exit short,2024-05-03 12:00:00,[ExitS rA:45 hA:37 PS:D CD:30],1.632,1000,1632,-0.19,-0.02,0,0.00,-0.49,-0.05,76.23,7.62
